chunk_id,question,context_preview,doc_id
03-Prospecto-Gadopril#0000,¿Cuál es el principio activo del medicamento GADOPRIL?,"PROYECTO DE PROSPECTO MÉDICO  GADOPRIL® 2,5- 5-10-20  ENALAPRIL MALEATO 2,5-5-10-20 mg  Comprimidos ranurados  Venta bajo receta  Industria Argentina",03-Prospecto-Gadopril
Albicar__D1805-E-1517-02-Instrucci_n-Albicar#0085,¿Qué es el L-Carnitina en relación a su acción terapéutica?,Acción  Terapéutica:  normalizador  del  metabolismo  celular  a  nivel  muscular  estriada:  terapia suplementaria en afecciones que cursen con déficit de L-Carnitina.,Albicar__D1805-E-1517-02-Instrucci_n-Albicar
Amoclav_Duo__D0285-E-0850-05-Instrucci_n-Amoclav-Duo-Comprimidos-1#0170,¿Qué efectos adversos hepáticos se han reportado en menos del 1% de los casos?,"Efectos adversos:  los efectos colaterales son infrecuentes, leves y de carácter transitorio. Ocasionalmente pueden presentarse náuseas, vómitos, diarrea y rash cutáneo y vaginitis. En menos del 1% de los casos se han reportado efectos cola…",Amoclav_Duo__D0285-E-0850-05-Instrucci_n-Amoclav-Duo-Comprimidos-1
Ampliar_Duo__D1443-E-0604-02-INSTRUCCION-AMPLIAR-DUO#0255,¿Cuál es el tratamiento recomendado en caso de sobredosis por atorvastatin y/o ezetimibe?,"Reacciones  adversas:  generalmente leves y transitorias. En ensayos clínicos, menos del 2% de los pacientes suspendieron el tratamiento debido a efectos adversos causados por atorvastatin.  reacciones  adversas  con  atorvastatin  son  las…",Ampliar_Duo__D1443-E-0604-02-INSTRUCCION-AMPLIAR-DUO
Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB#0340,¿El uso simultáneo del diclofenac con ácido acetilsalicílico reduce recíprocamente la biodisponibilidad?,conocida o sospechada por el parásito Strongyloides. Se debe evitar el uso de BLOKIUM B12 IM en pacientes con tuberculosis activa. El uso en individuos con tuberculosis latente o con reacción positiva a la PPD requiere de una observación es…,Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB
Blokium_Flex__D2807-E-2481-03-Instrucci_n-Blokium-Flex-Sol-Inyectable-y-Comprimidos#0425,¿Es alérgico a diclofenac o pridinol para usar BLOKIUM FLEX?,Presentación: comprimidos recubiertos: envases con 15 y 30 comprimidos recubiertos. Inyectable: envases con 3 y 6 ampollas. Fecha de última revisión: Abril 2015 Forma de conservación: conservar a temperatura ambiente menor a 30oC. Mantener …,Blokium_Flex__D2807-E-2481-03-Instrucci_n-Blokium-Flex-Sol-Inyectable-y-Comprimidos
Blokium_Protect__D2936-E-2609-01-Instruccion-Blokium-Protect#0510,¿Qué es el mecanismo de acción del diclofenac en relación con la inflamación?,"Composición  de  los  Pellets  de  Omeprazol:  hidroxipropilcelulosa  3,00  mg,  celulosa microcristalina 2,00 mg, lauril sulfato de sodio 0,25 mg, lactosa anhidra 4,00 mg, manitol 80,75 mg, fosfato disódico 0,40 mg, hidroxipropilmetilcelul…",Blokium_Protect__D2936-E-2609-01-Instruccion-Blokium-Protect
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0595,¿Cuál fue el porcentaje de pacientes que recibieron levetiracetam y discontinuaron o redujeron la dosis debido a un evento adverso en el estudio con control de placebo?,"placebo que utilizó levetiracetam comprimidos, el 8,3% de los pacientes que recibieron levetiracetam y el 1,3% de los pacientes que recibieron placebo discontinuaron o tuvieron una reducción de la dosis como resultado de un evento adverso. …",Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable
Carrier_XR__D3160-E-2834-01-Instruccion-CarrierXR#0680,¿Cuál es el riesgo asociado al uso de memantina en pacientes con antecedente reciente de infarto de miocardio?,"Precauciones Condiciones  neurológicas:  memantina  no  ha  sido  evaluado  sistemáticamente en pacientes con convulsiones. En estudios clínicos, se observaron convulsiones en el 0,3% de los pacientes tratados con memantina y en el 0,6% de …",Carrier_XR__D3160-E-2834-01-Instruccion-CarrierXR
Corticas_L_UD__D2156-E-1877-01-Instruccion-CORTICAS-L-UD-1#0765,¿Es contraindicado el medicamento CORTICAS L UD en pacientes con infecciones micóticas sistémicas?,Contraindicaciones:  CORTICAS L UD está contraindicado en pacientes con hipersensibilidad o idiosincrasia demostrada a cualquiera de sus componentes. La betametasona está contraindicada en pacientes con infecciones micóticas sistémicas.,Corticas_L_UD__D2156-E-1877-01-Instruccion-CORTICAS-L-UD-1
Dercolina_Infantil__D2608-E-2286-01-Instrucci_n-Dercolina-Infantil#0850,¿El cloruro de benzalconio puede causar rinitis en pacientes asmáticos?,"Reacciones  Adversas:  reacciones  de  hipersensibilidad  a  salicilato. Riesgo  de  irritación  en  razón  de  la presencia de alcohol. El cloruro de benzalconio, utilizado como preservativo en gotas nasales o en soluciones para nebulizar …",Dercolina_Infantil__D2608-E-2286-01-Instrucci_n-Dercolina-Infantil
Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1#0935,¿Cuántos comprimidos recubiertos contiene cada envase del medicamento?,PRESENTACIÓN:  Envases conteniendo 30 comprimidos recubiertos. Fecha de última revisión: septiembre de 2022.,Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1
Elifer__D1705-E-1406-02-Instruccion-Elifer#1020,¿Cuál es el efecto adverso más comúnmente asociado al tratamiento con gabapentin en pacientes pediátricos?,"años de edad) en combinación con otros anticonvulsivantes fueron: infección intestinal, fiebre, náuseas, somnolencia vómitos y hostilidad. Aproximadamente el 7% de los pacientes mayores de 12 años y aproximadamente el 7% de los pacientes pe…",Elifer__D1705-E-1406-02-Instruccion-Elifer
FILTEN-D-G00081104-05#1190,¿Cuál es el efecto adverso raro del medicamento Filtén D?,"anafilaxia, fiebre. Metabólicas: Ocasionales: puede manifestar una diabetes latente o agravar una diabetes preexistente y provocar hipoglucemia en pacientes diabéticos. Otras. Raras: aumento de peso. Laboratorio. Hiperglucemia (especialment…",FILTEN-D-G00081104-05
Fentaxina__D1514-E-1254-02-Instrucci_n-Fentaxina-1#1275,¿Cuál es la dosis máxima diaria recomendada para el medicamento que contiene 750 mg?,Dosis:  Frecuencia diaria (mg) cada 24 h  500  cada 24 h cada 24 h  750 500  Duración (**) 7 días  7-14 días 7-14 días  cada 24 h  750  5 días,Fentaxina__D1514-E-1254-02-Instrucci_n-Fentaxina-1
G00072203-01-april-web#1360,¿Cuál es el efecto adverso más frecuente del APRIL® que puede afectar hasta 1 de cada 10 mujeres?,"olvida de comenzar un nuevo blíster después del periodo sin comprimidos, hay riesgo de embarazo. En ese caso, consulte con su médico. - Un comprimido olvidado en la semana 2 (día 8 a 14): Tome el comprimido olvidado en cuanto se acuerde, in…",G00072203-01-april-web
G00072803-14-alplax-digest-web#1445,¿Cuál es el síndrome que puede desarrollarse en pacientes que reciben sulpirida?,"En los pacientes con trastorno de pánico que reciben dosis de mantenimiento, puede desarrollarse ansiedad interdosis y ansiedad matutina, circunstancias que indican el desarrollo de tolerancia o la existencia de un intervalo prolongado entr…",G00072803-14-alplax-digest-web
G00073003-10-alplax-web#1530,¿Cuál es la dosis máxima diaria recomendada para el tratamiento de ansiedad generalizada con ALPLAX?,"POSOLOGÍA Y FORMA DE ADMINISTRACIÓN:  La dosis óptima de ALPLAX® se ajusta a la sintomatología del paciente y a la respuesta obtenida. Si fuere necesario, se puede aumentar gradualmente la dosis inicial con relación a la tolerabilidad. Trat…",G00073003-10-alplax-web
G00073601-07-Calcimax_D3_400_web#1615,¿Cuál es el equivalente en mg de Calcio elemental contenido en cada comprimido de CALCIMAX® D3 400?,COMPOSICIÓN:  Cada comprimido de CALCIMAX® D3 400 contiene: Citrato de calcio (equivalente a 315 mg de Calcio elemental)..... 1500 mg Vitamina D3 ......................................................................400 U.I. Excipientes:  C…,G00073601-07-Calcimax_D3_400_web
G00074704-02-Cortipyren_B_web#1700,¿Cuántos miligramos de lactosa monohidrato contiene cada comprimido de CORTIPYREN B 4?,"COMPOSICIÓN: Cada comprimido de CORTIPYREN® B 4 contiene: Meprednisona (16-β-metilprednisona) ....................................4,000 mg Excipientes: Almidón de Maíz ....................................................................... …",G00074704-02-Cortipyren_B_web
G00075203-03-CALCIMAX-CALCIMAX-FTE-Prospecto-web#1785,¿Cuál es el equivalente en mg de calcio elemental del citrato de calcio presente en cada comprimido de CALCIMAX?,"COMPOSICIÓN:  Cada comprimido de CALCIMAX® contiene: Citrato de calcio (equivalente a 200 mg de calcio elemental) 950 mg Excipientes: Celulosa microcristalina, Croscaramelosa sódica, Dióxido de silicio coloidal, Estearato de magnesio ......…",G00075203-03-CALCIMAX-CALCIMAX-FTE-Prospecto-web
G00076103-09_foxetin-web#1870,¿Cuál es el principal metabolito activo del fluoxetina?,"identificados. El único metabolito activo identificado, la norfluoxetina, es formado por la demetilación de fluoxetina. En modelos animales, la S-norfluoxetina es un inhibidor potente y selectivo de la recaptación de serotonina y tiene acti…",G00076103-09_foxetin-web
G00076604-04-elafax-web#1955,¿Cuál es el principio activo del medicamento ELAFAX LP?,"mg Gelatina ............................................................................... 74,2276 mg liberación prolongada de Cada cápsula con microgránulos de ELAFAX® LP 150 contiene: Venlafaxina (como clorhidrato 169,7 mg) .............…",G00076604-04-elafax-web
G00076702-09-elafax-web#2040,¿Cuál es el porcentaje de pacientes que interrumpieron el tratamiento con venlafaxina debido a hipertensión?,"incidencia de la hipertensión arterial con venlafaxina. La incidencia fue del 3, 5, 7 y 13% con dosis <100 mg/día, entre 101-200 mg/día, entre 201-300 mg/día y >300 mg/día, respectivamente. Al analizar los pacientes con hipertensión sosteni…",G00076702-09-elafax-web
G00077101-11-INSOMNIUM#2125,¿Cuál es la dosis inicial recomendada para pacientes ancianos y/o debilitados?,"POSOLOGÍA Y FORMA DE ADMINISTRACIÓN:  La dosis habitual para los adultos mayores de 18 años es de 7,5 mg (1 comprimido) administrado antes de acostarse. No debe excederse la dosis máxima de 7,5 mg. En pacientes ancianos y/o debilitados, en …",G00077101-11-INSOMNIUM
G00077503-02-ProspectoWebMarvil70#2210,¿Cuál es el medicamento que no debe administrarse a personas con hipocalcemia?,CONTRAINDICACIONES: -  Anormalidades  del  esófago  que  demoran  el  vaciado  esofágico tales como la estenosis o acalasia. - Incapacidad para mantenerse de pie o sentado erguido durante por lo menos 30 minutos. - Hipersensibilidad a cualq…,G00077503-02-ProspectoWebMarvil70
G00078202-09-Lercadip_web#2295,¿Cuántos miligramos de Lercanidipina clorhidrato contiene cada comprimido recubierto de LERCADIP?,"Composición Cada comprimido recubierto de LERCADIP® 10 contiene: Lercanidipina clorhidrato (como Lercanidipina 9,4 mg) ............ 10 mg Excipientes: Lactosa monohidrato ......................................................... 30,000 mg C…",G00078202-09-Lercadip_web
G00078705-13-paxon-d-web#2380,¿El uso concomitante de hidroclorotiazida y metildopa puede provocar anemia hemolítica?,"tiazida puede aumentar la incidencia de reacciones de hipersensibilidad al alopurinol. Medicamentos anticolinérgicos (p. ej. atropina, biperideno): Aumento de la biodisponibilidad de los diuréticos tipo tiazida al disminuir la motilidad gas…",G00078705-13-paxon-d-web
G00078803-02-prograf-web#2465,¿Qué efectos secundarios graves pueden ocurrir en pacientes tratados con tacrolimus?,"que puede estar acompañado o no de otros síntomas, como dolor en el pecho (angina), pérdida de conocimiento, vértigo o náuseas, palpitaciones (percepción del latido cardíaco) y dificultad para respirar. • Efectos secundarios graves de frecu…",G00078803-02-prograf-web
G00080002-05-drimux-web#2550,¿Cuál es el ajuste diario recomendado para la dosis de Espirónolactona en pacientes con insuficiencia cardíaca?,"tos, tal co mo se re co mien da en hi­ per ten sión esen cial. Se re co mien da in ge rir DRI MUX® A una vez al día con el de sa yu no (los ali men tos no in ter fie­ ren en su ab sor ción); el ajus te de do sis de be rá rea li zar se ca da…",G00080002-05-drimux-web
