chunk_id,question,context_preview,doc_id
03-Prospecto-Gadopril#0000,¿Qué forma tienen los comprimidos de GADOPRIL?,"PROYECTO DE PROSPECTO MÉDICO  GADOPRIL® 2,5- 5-10-20  ENALAPRIL MALEATO 2,5-5-10-20 mg  Comprimidos ranurados  Venta bajo receta  Industria Argentina",03-Prospecto-Gadopril
Alercas_D__D2913-E-2587-01-Instruccion-Alercas-D#0080,¿Cuál es el efecto adverso más común de la fexofenadina?,de la fexofenadina ni de la pseudoefedrina. Embarazo: no hay estudios con fexofenadina en mujeres embarazadas. ALERCAS D debe usarse durante el embarazo sólo si el potencial beneficio para la madre supera el riesgo potencial para el niño. L…,Alercas_D__D2913-E-2587-01-Instruccion-Alercas-D
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0160,¿Cuál fue la proporción de sujetos que murieron por causas cardiovasculares en el grupo de atorvastatina 80 mg?,"un accidente cerebrovascular hemorrágico [7 (16%) atorvastatina frente a 2 (4%) placebo]. No se observó una diferencia significativa entre los grupos de tratamiento con respecto a la mortalidad por todas las causas: 216 (9,1%) en el grupo d…",Ampliar_80__Instruccion-Ampliar-80-180x600-web
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0240,¿Cuál es el efecto de los corticoides en la eliminación del salicilato?,"o que reciben anticoagulantes orales. BLOKIUM CORT por su contenido en betametasona debe administrarse con precaución en pacientes con diverticulitis, anastomosis intestinales recientes, antecedentes de úlcera péptica, colitis ulcerosa, 2 a…",Blokium_Cort__Instruccion-Blokium-Cort-para-Web
Blokium_Gesic__Instruccion-para-WEB-Blokium-Gesic#0320,¿Cuál es la dosis inicial recomendada de acetilcisteína para tratamiento en caso de sobredosificación?,"tipo de glóbulos blancos), anemia, neutropenia y agranulocitosis (disminución de los neutrófilos) y pancitopenia (disminución grave del recuento de células de la sangre). - Sistema Nervioso: insomnio/somnolencia, depresión, ansiedad, visión…",Blokium_Gesic__Instruccion-para-WEB-Blokium-Gesic
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0400,¿Cuál porcentaje de pacientes tratados con levetiracetam discontinuaron o redujeron la dosis debido a eventos adversos en estudios clínicos bien controlados?,Cambios de ánimo Levetiracetam (N = 79) % Placebo (N = 84) % 8 10 14 6 5 7 8 5 2 1 Discontinuación o Reducción de la Dosis en Estudios Clínicos Bien Controlados Crisis de inicio parcial En estudios clínicos bien controlados en adultos que u…,Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable
Carrier__D1346-E-0497-04-Instruccion-Carrier#0480,¿Cuál es el efecto adverso más común de la memantina en pacientes con hipertensión?,Cuerpo en su totalidad  Fatiga Dolor  Sistema cardiovascular  Hipertensión Sistema Nervioso Central y Periférico  Mareos Cefaleas  Sistema Gastrointestinal Constipación Vómitos  Sistema Músculo esquelético  Lumbalgia  Desórdenes psiquiatric…,Carrier__D1346-E-0497-04-Instruccion-Carrier
Detixol__D3222-E-2897-01-Instruccion-Detixol#0560,¿Cuál es la dosis máxima recomendada de DETIXOL para mujeres embarazadas?,"intermitente. Los temblores y los movimientos atetósicos pueden constituir el pródromo. Pupilas fijas y dilatadas, enrojecimiento de los tegumentos (cara) e hiperemia son los signos que recuerdan frecuentemente la intoxicación atropínica. L…",Detixol__D3222-E-2897-01-Instruccion-Detixol
Dilcoran__MKG-Instruccion-Dilcoran#0640,¿Cuál fue la dosis media diaria de valsartán en el estudio Val-HeFT?,"cual incluyó solo pacientes no tratados con inhibidores de la ECA por al 1 menos seis meses previos a la randomización, valsartán mejoró significativamente la PCP, la resistencia vascular sistémica (RVS), el trabajo cardíaco y la PAS a los …",Dilcoran__MKG-Instruccion-Dilcoran
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#0720,¿Cuál es la dosis inicial recomendada para olanzapina en pacientes con esquizofrenia?,la disfunción hepática realizado en individuos (n = 6) con cirrosis clínicamente significativa (A y B según la clasificación de Childs Pugh) reveló un efecto poco importante en la farmacocinética de la olanzapina. Los sujetos con disfunción…,Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed
Factor_AE_Venta_Libre___D0751-E-1133-02-Instrucci_n-Factor-AE-1#0800,¿Cuál es el pH de la crema FACTOR AE?,"FACTOR AE®  VITAMINA A ALANTOINA VITAMINA E  Venta Bajo Receta Industria Argentina  CREMA - EMULSION  Fórmulas CREMA Cada 100 gr de crema contiene: vitamina A (como palmitato)  600.000 U.I.; alantoina  0,250 gr; vitamina E (como  acetato)  …",Factor_AE_Venta_Libre___D0751-E-1133-02-Instrucci_n-Factor-AE-1
G00072203-01-april-web#0880,¿Qué efecto tienen los anticonceptivos orales sobre la concentración plasmática de lamotrigina?,"eritromicina), diltiazem y jugo de pomelo puede aumentar los niveles hormonales plasmáticos. Efecto de los AOC sobre otros medicamentos: La administración concomitante de troleandomicina con anticonceptivos orales combinados, también puede …",G00072203-01-april-web
