chunk_id,question,answer
03-Prospecto-Gadopril#0000,¿Cuál es el principio activo del medicamento GADOPRIL?,Not enough information in the provided context.
Albicar__D1805-E-1517-02-Instrucci_n-Albicar#0085,¿Qué es el L-Carnitina en relación a su acción terapéutica?,L-Carnitina es un suplemento utilizado para normalizar el metabolismo celular a nivel muscular estriado en casos de déficit.
Amoclav_Duo__D0285-E-0850-05-Instrucci_n-Amoclav-Duo-Comprimidos-1#0170,¿Qué efectos adversos hepáticos se han reportado en menos del 1% de los casos?,Hepatitis y colestasis intrahepática
Ampliar_Duo__D1443-E-0604-02-INSTRUCCION-AMPLIAR-DUO#0255,¿Cuál es el tratamiento recomendado en caso de sobredosis por atorvastatin y/o ezetimibe?,Tratar al paciente en forma sintomática y indicar medidas de soporte vital.
Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB#0340,¿El uso simultáneo del diclofenac con ácido acetilsalicílico reduce recíprocamente la biodisponibilidad?,"Sí, el uso simultáneo del diclofenac con ácido acetilsalicílico reduce recíprocamente la biodisponibilidad."
Blokium_Flex__D2807-E-2481-03-Instrucci_n-Blokium-Flex-Sol-Inyectable-y-Comprimidos#0425,¿Es alérgico a diclofenac o pridinol para usar BLOKIUM FLEX?,No debe usar BLOKIUM FLEX si es alérgico a diclofenac o pridinol.
Blokium_Protect__D2936-E-2609-01-Instruccion-Blokium-Protect#0510,¿Qué es el mecanismo de acción del diclofenac en relación con la inflamación?,"El diclofenac inhibe la síntesis y liberación de prostaglandinas durante el proceso inflamatorio, inhibiendo ambas isoenzimas ciclo-oxigenasas conocidas (COX1 y COX2)."
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0595,¿Cuál fue el porcentaje de pacientes que recibieron levetiracetam y discontinuaron o redujeron la dosis debido a un evento adverso en el estudio con control de placebo?,8.3%
Carrier_XR__D3160-E-2834-01-Instruccion-CarrierXR#0680,¿Cuál es el riesgo asociado al uso de memantina en pacientes con antecedente reciente de infarto de miocardio?,La experiencia clínica en pacientes con antecedente reciente de infarto de miocardio es limitada.
Corticas_L_UD__D2156-E-1877-01-Instruccion-CORTICAS-L-UD-1#0765,¿Es contraindicado el medicamento CORTICAS L UD en pacientes con infecciones micóticas sistémicas?,"Sí, la betametasona está contraindicada en pacientes con infecciones micóticas sistémicas."
Dercolina_Infantil__D2608-E-2286-01-Instrucci_n-Dercolina-Infantil#0850,¿El cloruro de benzalconio puede causar rinitis en pacientes asmáticos?,"Sí, el cloruro de benzalconio se ha relacionado excepcionalmente con la aparición de rinitis en pacientes asmáticos."
Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1#0935,¿Cuántos comprimidos recubiertos contiene cada envase del medicamento?,30 comprimidos recubiertos
Elifer__D1705-E-1406-02-Instruccion-Elifer#1020,¿Cuál es el efecto adverso más comúnmente asociado al tratamiento con gabapentin en pacientes pediátricos?,Somnolencia
FILTEN-D-G00081104-05#1190,¿Cuál es el efecto adverso raro del medicamento Filtén D?,aumento de peso
Fentaxina__D1514-E-1254-02-Instrucci_n-Fentaxina-1#1275,¿Cuál es la dosis máxima diaria recomendada para el medicamento que contiene 750 mg?,750 mg
G00072203-01-april-web#1360,¿Cuál es el efecto adverso más frecuente del APRIL® que puede afectar hasta 1 de cada 10 mujeres?,"Cambios de humor, incluyendo depresión"
G00072803-14-alplax-digest-web#1445,¿Cuál es el síndrome que puede desarrollarse en pacientes que reciben sulpirida?,Síndrome neuroléptico maligno
G00073003-10-alplax-web#1530,¿Cuál es la dosis máxima diaria recomendada para el tratamiento de ansiedad generalizada con ALPLAX?,4 mg/día
G00073601-07-Calcimax_D3_400_web#1615,¿Cuál es el equivalente en mg de Calcio elemental contenido en cada comprimido de CALCIMAX® D3 400?,315 mg
G00074704-02-Cortipyren_B_web#1700,¿Cuántos miligramos de lactosa monohidrato contiene cada comprimido de CORTIPYREN B 4?,"74,660 mg"
G00075203-03-CALCIMAX-CALCIMAX-FTE-Prospecto-web#1785,¿Cuál es el equivalente en mg de calcio elemental del citrato de calcio presente en cada comprimido de CALCIMAX?,200 mg
G00076103-09_foxetin-web#1870,¿Cuál es el principal metabolito activo del fluoxetina?,La norfluoxetina
G00076604-04-elafax-web#1955,¿Cuál es el principio activo del medicamento ELAFAX LP?,Venlafaxina
G00076702-09-elafax-web#2040,¿Cuál es el porcentaje de pacientes que interrumpieron el tratamiento con venlafaxina debido a hipertensión?,menos del 1% del grupo tratado con venlafaxina
G00077101-11-INSOMNIUM#2125,¿Cuál es la dosis inicial recomendada para pacientes ancianos y/o debilitados?,3.75 mg (1/2 comprimido)
