chunk_id,question,answer
03-Prospecto-Gadopril#0000,¿Qué forma tienen los comprimidos de Enalapril Maleato?,Comprimidos ranurados
03-Prospecto-Gadopril#0015,¿Cuánto tiempo tarda el enalaprilato en alcanzar concentraciones máximas en el suero después de una dosis oral de enalapril?,4 horas después de una dosis oral de enalapril
03-Prospecto-Gadopril#0030,¿Cuál es el efecto adicional de la presión arterial sistémica que puede ocurrir en pacientes con insuficiencia cardiaca y presión arterial normal o baja al tomar Gadopril?,un descenso adicional de la presión arterial sistémica
03-Prospecto-Gadopril#0045,¿Qué dirección tiene la empresa GADOR S.A.?,"Darwin 429, C1414CUI, C.A.B.A., Argentina"
FILTEN-D-G00081104-05#0060,¿Quién debe evitar tomar FILTEN® D?,"Pacientes con alergia a Carvedilol, Hidroclorotiazida o excipientes, insuficiencia cardiaca descompensada de clase IV, EPOC con bronquios obstruidos, hígado no funcionante bien, asma bronquial y enfermedad del corazón con bloqueo auriculoventricular de segundo y tercer grado sin marcapasos permanente."
G00072104-08-ALPLAX_XR_web#0075,¿Cuánto debe reducirse la dosis diaria de ALPLAX cuando se interrumpe el tratamiento?,No más de 0.5 mg cada 3 días
G00072104-08-ALPLAX_XR_web#0090,¿Cuál es el contenido de Alprazolam en cada comprimido de liberación sostenida de ALPLAX XR 1?,1 mg
G00072203-01-april-web#0105,¿Qué síntoma puede ser malinterpretado como un trastorno respiratorio menos grave en mujeres que toman AOC?,disnea
G00072203-01-april-web#0120,¿Qué temperatura ambiente es recomendada para conservar este producto?,Entre 15°C y 30°C
G00072601-09-AMBISOME-Prospecto-web#0135,¿Qué es el principio activo principal en AMBISOME?,Anfotericina B
G00072601-09-AMBISOME-Prospecto-web#0150,¿Cuál es la frecuencia de hipopotasemia en pacientes que reciben AMBISOME?,Frecuente (> 10 %)
G00072703-19-ATENOLOL_web#0165,¿Cuál es la cantidad de Atenolol en cada comprimido de ATENOLOL GADOR® 25?,25 mg
G00072703-19-ATENOLOL_web#0180,¿Qué tratamiento se recomienda para la bradicardia causada por sobredosis de atenolol?,Atropina intravenosa
G00072803-14-alplax-digest-web#0195,¿Cuál es el porcentaje de unión a las proteínas séricas de sulpirida?,menor del 40%
G00072803-14-alplax-digest-web#0210,¿Cuál es el efecto adverso más común del alprazolam?,Somnolencia o aturdimiento
G00072904-04-web#0240,¿Cuál es el tratamiento recomendado para la sobredosis de allopurinol?,"El tratamiento orientativo inicial de la sobredosis incluye vómito provocado o lavado gástrico, carbón activado, purgante salino, hemodiálisis y otros procedimientos terapéuticos necesarios."
G00072904-04-web#0255,¿Quién debe evitar tomar ALLOPURINOL GADOR 100 o ALLOPURINOL GADOR 300 si está embarazada?,Si se encuentra embarazada.
G00073003-10-alplax-web#0270,"¿Cuál es el contenido de Almidón pregelatinizado en cada comprimido de ALPLAX® 0,5?",0.33 mg
G00073003-10-alplax-web#0285,¿Cuál es la dosis de Alprazolam en cada comprimido de ALPLAX® 2?,2 mg
G00073003-10-alplax-web#0300,¿Cuál es la temperatura máxima permitida para conservar el medicamento ALPLAX?,25°C
G00073204-10-alplax-net-web#0315,¿Cuál es el efecto de la cimetidina en las concentraciones plasmáticas de alprazolam?,Incrementa las concentraciones plasmáticas de alprazolam
G00073301-06-ProspectoWebAminomux#0330,¿Cuál es la velocidad máxima de infusión recomendada para el pamidronato disódico en pacientes con insuficiencia renal establecida o sospechada?,22 mg/hora
G00073301-06-ProspectoWebAminomux#0345,¿Cuál es la temperatura máxima permitida para almacenar el medicamento AMINOMUX?,25°C
G00073406-03-ProspectoWebBiletan-BiletanForte-BiletanForte200#0360,¿Cuál es la temperatura óptima para conservar BILETAN FORTE 200?,Entre 15°C y 25°C
G00073701-09-Coracil_web#0375,¿Cuál fue la reducción del C-LDL en pacientes que tomaron ezetimibe 10 mg en combinación con simvastatina 20 mg?,38%
G00073701-09-Coracil_web#0390,¿Qué edad mínima recomienda el uso de CORACIL en niños?,10 años
G00073803-12-biletan-e-web#0405,¿Cuál es el máximo de unidades de lipasa por kilogramo de peso recomendado?,10000-12000 unidades de lipasa por kilogramo de peso
G00074603-13-danantizol-web#0420,¿Cómo actúa el metimazol en la síntesis de hormonas tiroideas?,El metimazol actúa bloqueando la síntesis de hormonas tiroideas T3 y T4 interfiriendo en la incorporación del yodo en los residuos tirosil de la tiroglobulina.
G00074704-02-Cortipyren_B_web#0435,¿Cuántos miligramos de Lactosa Monohidrato contiene cada comprimido de CORTIPYREN B 4?,"74,660 mg"
G00074704-02-Cortipyren_B_web#0450,¿Qué efecto secundario puede ocurrir con el uso prolongado de glucocorticoides?,Coriorretinopatía central serosa y pérdida de la visión.
G00074902-04-Clinadol_Fte_y_Fote_AP-web#0465,¿Cuál es el riesgo de sangrado gastrointestinal en pacientes con antecedentes de úlcera o sangrado gastrointestinal que toman AINES?,Diez veces mayor que en pacientes sin antecedentes de úlcera o sangrado gastrointestinal.
G00075106-08-filten-web#0480,¿Cuál es la cantidad de Carvedilol en cada comprimido ranurado de FILTEN® 50?,50 mg
G00075106-08-filten-web#0495,"¿Qué excipiente contiene el comprimido ranurado de FILTEN® 3,125?","Lactosa monohidrato, Almidón de maíz, Croscaramelosa sódica, Povidona, Dióxido de silicio coloidal, Laca alumínica FD&C azul y Estearato de magnesio"
G00075203-03-CALCIMAX-CALCIMAX-FTE-Prospecto-web#0510,¿Cuál es la dosis máxima recomendada de calcio para pacientes con tratamiento prolongado?,No sobrepasar la dosis máxima recomendada y en caso de tratamiento prolongado se deberá controlar la calciuria y reducir o interrumpir la administración si la calciuria sobrepasa los 7.5 mmol/24 hs (300 mg/24hs).
G00075301-12-web-calcimax#0525,¿Cuál es el medicamento indicado para la prevención y tratamiento de la osteoporosis?,CALCIMAX D3
G00075402-07-enemol-web#0540,¿Cuántos días seguidos se debe administrar ENEMOL®?,No más de seis días seguidos
G00075902-04-gadoprild-web#0555,¿Qué es GADOPRIL D indicado para tratar?,La hipertensión arterial en pacientes para los cuales la terapia combinada es apropiada.
G00075902-04-gadoprild-web#0570,¿Cuál es la DL50 oral de enalapril en ratas y ratones?,2000 mg/kg
G00076103-09_foxetin-web#0585,¿Cuántas semanas debe monitorear un paciente después de la administración de linezolid o azul de metileno intravenoso?,5 semanas o hasta 24 hs. después de la última dosis
G00076103-09_foxetin-web#0600,¿Cuál es el efecto de la fluoxetina en los cachorros nacidos muertos?,Hubo un incremento de cachorros nacidos muertos.
G00076301-16-Gammatet_T-web#0615,¿Cuál es la temperatura de conservación del medicamento GAMMATET-T?,Mantener entre 2oC y 8oC.
G00076604-04-elafax-web#0630,"¿Cuál es el peso de Venlafaxina en cada cápsula con microgránulos de ELAFAX LP 37,5?",37.5 mg
