chunk_id,question,answer,n_sentences,sentences,sentences_join
03-Prospecto-Gadopril#0000,¿Qué forma tienen los comprimidos de Enalapril Maleato?,Comprimidos ranurados,2,"['Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg', 'Cada comprimido ranurado de GADOPRIL® 5 contiene: Enalapril maleato ......................................................................................5,00 mg']","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg || Cada comprimido ranurado de GADOPRIL® 5 contiene: Enalapril maleato ......................................................................................5,00 mg"
03-Prospecto-Gadopril#0015,¿Cuánto tiempo tarda el enalaprilato en alcanzar concentraciones máximas en el suero después de una dosis oral de enalapril?,4 horas después de una dosis oral de enalapril,1,"['Tras la absorción, el enalapril oral se hidroliza rápida y extensamente en enalaprilato, un potente inhibidor de la enzima de conversión de angiotensina. El enalaprilato alcanza concentraciones máximas en el suero 4 horas después de una dosis oral de enalapril.']","Tras la absorción, el enalapril oral se hidroliza rápida y extensamente en enalaprilato, un potente inhibidor de la enzima de conversión de angiotensina. El enalaprilato alcanza concentraciones máximas en el suero 4 horas después de una dosis oral de enalapril."
03-Prospecto-Gadopril#0030,¿Cuál es el efecto adicional de la presión arterial sistémica que puede ocurrir en pacientes con insuficiencia cardiaca y presión arterial normal o baja al tomar Gadopril?,un descenso adicional de la presión arterial sistémica,1,['Gadopril® puede ocasionar un descenso adicional de la presión arterial sistémica. Este efecto es previsible y generalmente no obliga a interrumpir el tratamiento.'],Gadopril® puede ocasionar un descenso adicional de la presión arterial sistémica. Este efecto es previsible y generalmente no obliga a interrumpir el tratamiento.
03-Prospecto-Gadopril#0045,¿Qué dirección tiene la empresa GADOR S.A.?,"Darwin 429, C1414CUI, C.A.B.A., Argentina",1,"['GADOR S.A. Darwin 429, C1414CUI, C.A.B.A., Argentina - Tel: 4858-9000']","GADOR S.A. Darwin 429, C1414CUI, C.A.B.A., Argentina - Tel: 4858-9000"
FILTEN-D-G00081104-05#0060,¿Quién debe evitar tomar FILTEN® D?,"Pacientes con alergia a Carvedilol, Hidroclorotiazida o excipientes, insuficiencia cardiaca descompensada de clase IV, EPOC con bronquios obstruidos, hígado no funcionante bien, asma bronquial y enfermedad del corazón con bloqueo auriculoventricular de segundo y tercer grado sin marcapasos permanente.",4,"['No tome FILTEN° D si tiene: - Alergia a Carvedilol, a la Hidroclorotiazida, otras tiazidas o sulfonamidas o cualquiera de los excipientes. - Un tipo de insuficiencia cardiaca descompensada de la llamada clase IV (incapacidad del corazón para realizar su función de bombeo ante la actividad física y en reposo). -  Enfermedad  pulmonar  obstructiva  crónica  (EPOC)  con  los  bronquios  obstruidos (dificultad para respirar)', 'Si presenta alguna enfermedad del corazón. - Si toma otros medicamentos para el corazón, especialmente si está tomando alguno de los siguientes medicamentos debe informar a su médico: digitálicos (aumentan la fuerza del latido del corazón), diuréticos (aumentan la cantidad de orina), inhibidor de la ECA (medicamento antihipertensivo), antagonistas del calcio (medicamento antihipertensivo) y antiarritmicos (actúan sobre el ritmo del corazón).', 'Si tiene algún problema de tiroides. - Si es alérgico y recibe algún tratamiento para su alergia.', 'No debe interrumpir el tratamiento con FILTEN° D de forma brusca. La dosis se debe reducir gradualmente según las indicaciones de su médico.']","No tome FILTEN° D si tiene: - Alergia a Carvedilol, a la Hidroclorotiazida, otras tiazidas o sulfonamidas o cualquiera de los excipientes. - Un tipo de insuficiencia cardiaca descompensada de la llamada clase IV (incapacidad del corazón para realizar su función de bombeo ante la actividad física y en reposo). -  Enfermedad  pulmonar  obstructiva  crónica  (EPOC)  con  los  bronquios  obstruidos (dificultad para respirar) || Si presenta alguna enfermedad del corazón. - Si toma otros medicamentos para el corazón, especialmente si está tomando alguno de los siguientes medicamentos debe informar a su médico: digitálicos (aumentan la fuerza del latido del corazón), diuréticos (aumentan la cantidad de orina), inhibidor de la ECA (medicamento antihipertensivo), antagonistas del calcio (medicamento antihipertensivo) y antiarritmicos (actúan sobre el ritmo del corazón). || Si tiene algún problema de tiroides. - Si es alérgico y recibe algún tratamiento para su alergia. || No debe interrumpir el tratamiento con FILTEN° D de forma brusca. La dosis se debe reducir gradualmente según las indicaciones de su médico."
G00072104-08-ALPLAX_XR_web#0075,¿Cuánto debe reducirse la dosis diaria de ALPLAX cuando se interrumpe el tratamiento?,No más de 0.5 mg cada 3 días,1,"['Las reducciones de la medicación o la interrupción del tratamiento deben hacerse gradualmente, reduciendo la dosis diaria en no más de 0,5 mg cada 3 días.']","Las reducciones de la medicación o la interrupción del tratamiento deben hacerse gradualmente, reduciendo la dosis diaria en no más de 0,5 mg cada 3 días."
G00072104-08-ALPLAX_XR_web#0090,¿Cuál es el contenido de Alprazolam en cada comprimido de liberación sostenida de ALPLAX XR 1?,1 mg,1,"['Cada comprimido de liberación sostenida de ALPLAX XR® 1 contiene: Alprazolam ................................................................................. 1 mg. Excipientes: Lactosa, Hidroxipropilmetilcelulosa, Celulosa microcristalina, Estearato de magnesio, Rojo punzó ..................................... c.s.']","Cada comprimido de liberación sostenida de ALPLAX XR® 1 contiene: Alprazolam ................................................................................. 1 mg. Excipientes: Lactosa, Hidroxipropilmetilcelulosa, Celulosa microcristalina, Estearato de magnesio, Rojo punzó ..................................... c.s."
G00072203-01-april-web#0105,¿Qué síntoma puede ser malinterpretado como un trastorno respiratorio menos grave en mujeres que toman AOC?,disnea,1,"['Algunos de estos síntomas (p.ej., “disnea”, “tos”) son inespecíficos y se pueden malinterpretar como trastornos más frecuentes o menos graves (p.ej., infecciones del tracto respiratorio).']","Algunos de estos síntomas (p.ej., “disnea”, “tos”) son inespecíficos y se pueden malinterpretar como trastornos más frecuentes o menos graves (p.ej., infecciones del tracto respiratorio)."
G00072203-01-april-web#0120,¿Qué temperatura ambiente es recomendada para conservar este producto?,Entre 15°C y 30°C,1,"['Conservar a temperatura ambiente, entre 15°C y 30°C.']","Conservar a temperatura ambiente, entre 15°C y 30°C."
G00072601-09-AMBISOME-Prospecto-web#0135,¿Qué es el principio activo principal en AMBISOME?,Anfotericina B,2,"['Cada vial contiene 50 mg de anfotericina B encapsulada en liposomas como principio activo.', 'La anfotericina B es un antibiótico antifúngico poliénico macrocíclico producido por Streptomyces nodosus.']",Cada vial contiene 50 mg de anfotericina B encapsulada en liposomas como principio activo. || La anfotericina B es un antibiótico antifúngico poliénico macrocíclico producido por Streptomyces nodosus.
