chunk_id,question_original,question_evolved
03-Prospecto-Gadopril#0000,¿Qué forma tienen los comprimidos de GADOPRIL?,¿Qué forma tienen los comprimidos de GADOPRIL?
Alercas_D__D2913-E-2587-01-Instruccion-Alercas-D#0080,¿Cuál es el efecto adverso más común de la fexofenadina?,¿Qué efectos adversos tiene la fexofenadina en embarazo?
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0160,¿Cuál fue la proporción de sujetos que murieron por causas cardiovasculares en el grupo de atorvastatina 80 mg?,¿Cuál fue la proporción de sujetos que murieron por causas cardiovasculares en el grupo de atorvastatina 80 mg?
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0240,¿Cuál es el efecto de los corticoides en la eliminación del salicilato?,¿Qué ocurre con el salicilato al usar agentes corticoides?
Blokium_Gesic__Instruccion-para-WEB-Blokium-Gesic#0320,¿Cuál es la dosis inicial recomendada de acetilcisteína para tratamiento en caso de sobredosificación?,¿Cuál es la dosis inicial recomendada de acetilcisteína para tratamiento en caso de sobredosificación?
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0400,¿Cuál porcentaje de pacientes tratados con levetiracetam discontinuaron o redujeron la dosis debido a eventos adversos en estudios clínicos bien controlados?,¿Cuál % de pacientes con Levetiracetam discontinúan por eventos adversos?
Carrier__D1346-E-0497-04-Instruccion-Carrier#0480,¿Cuál es el efecto adverso más común de la memantina en pacientes con hipertensión?,¿Cuál efecto adverso causa la memantina en hipertensos?
Detixol__D3222-E-2897-01-Instruccion-Detixol#0560,¿Cuál es la dosis máxima recomendada de DETIXOL para mujeres embarazadas?,¿Cuál es la dosis máxima recomendada de DETIXOL para mujeres embarazadas?
Dilcoran__MKG-Instruccion-Dilcoran#0640,¿Cuál fue la dosis media diaria de valsartán en el estudio Val-HeFT?,¿Cuál fue la dosis de valsartán en Val-HeFT?
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#0720,¿Cuál es la dosis inicial recomendada para olanzapina en pacientes con esquizofrenia?,¿Qué dosis de olanzapina usan los esquizofrénicos?
Factor_AE_Venta_Libre___D0751-E-1133-02-Instrucci_n-Factor-AE-1#0800,¿Cuál es el pH de la crema FACTOR AE?,¿Cuál es el pH de la crema FACTOR AE?
G00072203-01-april-web#0880,¿Qué efecto tienen los anticonceptivos orales sobre la concentración plasmática de lamotrigina?,¿Qué efectos tienen los anticonceptivos orales en Lamotrigina?
G00072803-14-alplax-digest-web#0960,¿Qué tipo de medicamento es el derivado de las benzamidas?,¿Qué tipo de medicamento es el derivado de las benzamidas?
G00073003-10-alplax-web#1040,¿Cuál es la cantidad de almidón pregelatinizado en cada comprimido de ALPLAX® 1?,¿Cuánto almidón pregelatinizado hay en ALPLAX® 1?
G00073406-03-ProspectoWebBiletan-BiletanForte-BiletanForte200#1120,¿Qué es el ácido tióctico (ácido α-lipoico) en el tratamiento de la polineuropatía diabética?,¿Qué es el ácido tióctico (ácido α-lipoico) en el tratamiento de la polineuropatía diabética?
G00074704-02-Cortipyren_B_web#1200,¿Cuál es la cantidad de Meprednisona en cada comprimido de CORTIPYREN B 4?,¿Cuánto Meprednisona hay en CORTIPYREN B 4?
G00075301-12-web-calcimax#1280,¿Cuál es la dosis diaria recomendada de vitamina D para prevenir o tratar la osteoporosis en personas con inadecuado aporte de calcio?,¿Cuál es la dosis diaria recomendada de vitamina D para prevenir o tratar la osteoporosis en personas con inadecuado aporte de calcio?
G00076103-09_foxetin-web#1360,¿Cuál medicamento está contraindicado con fluoxetina?,¿Qué fármaco se combina mal con fluoxetina?
G00076604-04-elafax-web#1440,¿Cuántos días debe interrumpirse la venlafaxina antes de comenzar el tratamiento con un IMAO reversible?,¿Debido a qué interrupción de Venlafaxina se requiere IMAO?
G00076702-09-elafax-web#1520,¿Cuál es el síntoma más comúnmente informado en casos de sobredosis con venlafaxina?,¿Qué síntoma se asocia a venlafaxina en informes de sobredosis?
G00077101-11-INSOMNIUM#1600,¿Cuál es el efecto adverso más común observado con zopiclona?,¿Cuál es el efecto adverso más común observado con zopiclona?
G00078104-18-novacef-web#1680,¿Cuál es la dosis de Cefixima en cada comprimido recubierto de NOVACEF?,¿Cuál es la dosis de Cefixima en cada comprimido recubierto de NOVACEF?
G00078605-05-PAXON_web#1760,¿Qué precaución se debe tener al administrar losartán en pacientes con estenosis bilateral de la arteria renal?,¿Cuál precaución para losartán en estenosis renal bilateral?
G00078705-13-paxon-d-web#1840,¿Cuál es el riesgo de cáncer de piel aumentado con PAXON®D?,¿Puede el PAXON®D aumentar riesgo de cáncer de piel?
G00079203-10-damsel-web#1920,¿Cuál es el método anticonceptivo alternativo recomendado para las usuarias de DAMSEL antes de iniciar tratamiento con régimenes de fármacos combinados?,¿Qué anticonceptivo usa DAMSEL antes de AINEs?
G00080601-15-propranolol-web#2000,¿Cuál medicamento puede aumentar los niveles plasmáticos de propranolol?,¿Qué efecto tiene la amiodarona en propranolol?
G00081003-05-damsella-web#2080,¿Cuándo puede comenzar a tomar DAMSELLA® si cambia de otro anticonceptivo combinado de 28 comprimidos?,¿Cuándo puede comenzar DAMSELLA si cambia de anticonceptivo combinado?
G00081407-13-sinlip-web#2160,¿Cuál es el riesgo estimado de defectos de nacimiento mayores con rosuvastatina?,¿Cuál es el riesgo estimado de defectos de nacimiento mayores con rosuvastatina?
G00082402-14-ProspectoWebTamoxifeno#2240,¿Cuál es el riesgo de desarrollar coágulos sanguíneos con TAMOXIFENO GADOR?,¿Qué riesgo hay con Tamoxifeno en coágulos sanguíneos?
G00087203-06-april-28-web#2320,¿Qué síntoma puede exacerbar los estrógenos en mujeres con angioedema hereditario?,¿Qué síntoma puede exacerbar los estrógenos en mujeres con angioedema hereditario?
G00088203-02-gavin-web#2400,¿Cuál es el nombre del medicamento que se encuentra en envases de 30 cápsulas?,¿Qué medicamento viene en envases de 30 cápsulas?
G00093102-03-SOMIT-_CR-web#2480,¿Cuál es la dosis recomendada de zolpidem para pacientes mayores?,¿Qué dosis de Erman recomienda para mayores?
G00100201-00-ProspectoWebTonibral#2560,¿Cuál es la dosis recomendada para pacientes mayores de 65 años que toman TONIBRAL?,¿Cuál es la dosis de TONIBRAL para mayores de 65?
G00105201-02-ProspectoWebRisperinSolOral#2640,¿Cuál es la dosis máxima recomendada de RISPERIN para adolescentes con manía bipolar?,¿Qué dosis de RISPERIN para adolescentes con manía bipolar?
G00108303-06-atripla-web#2720,¿Cuál es la concentración de efavirenz que inhibe la replicación del VIH-1 en cultivos celulares?,¿Cuál es la dosis de Efavirenz que impide el VIH-1?
G00110401-02-Eplerona#2800,¿Cuál es el nombre del medicamento con la cantidad de eplerenona 25 mg?,¿Qué medicamento tiene 25 mg de eplerenona?
G00117703-04-GADOLIP-Prospecto-web#2880,¿Cuál es la cantidad de Fenofibrato de Colina equivalente en cada cápsula de GADOLIP?,¿Cuánto Fenofibrato de Colina hay en cada GADOLIP?
G00139604-04-femiden-web#2960,¿Cuál es la cantidad de lactosa monohidrato en cada comprimido recubierto blanco de FEMIDEN?,¿Cuánto lactosa monohidrato en FEMIDEN blanco cada?
