chunk_id,question
03-Prospecto-Gadopril#0000,¿Qué forma tienen los comprimidos de Enalapril?
03-Prospecto-Gadopril#0015,¿Cuánto tarda el enalaprilato en alcanzar máximas concentraciones?
03-Prospecto-Gadopril#0030,¿Cuál es el efecto adicional de la presión arterial sistémica que puede ocurrir en pacientes con insuficiencia cardiaca y presión arterial normal o baja al tomar Gadopril?
03-Prospecto-Gadopril#0045,¿Qué dirección tiene la empresa GADOR S.A.?
G00072104-08-ALPLAX_XR_web#0075,¿Cuánto debe reducirse la dosis diaria de ALPLAX cuando se interrumpe el tratamiento?
G00072104-08-ALPLAX_XR_web#0090,¿Qué es el Alprazolam en ALPLAX XR 1?
G00072203-01-april-web#0105,¿Qué síntoma se malinterpreta como hipertensión en mujeres con AOC?
G00072203-01-april-web#0120,¿Qué temperatura ambiente es recomendada para conservar este producto?
G00072601-09-AMBISOME-Prospecto-web#0135,¿Qué es el principio activo principal en AMBISOME?
G00072601-09-AMBISOME-Prospecto-web#0150,¿Cuál es la frecuencia de hipopotasemia en pacientes que reciben AMBISOME?
G00072703-19-ATENOLOL_web#0165,¿Cuánto Atenolol hay en cada ATENOLOL GADOR® 25?
G00072703-19-ATENOLOL_web#0180,¿Qué tratamiento se recomienda para la bradicardia causada por sobredosis de atenolol?
G00072803-14-alplax-digest-web#0195,¿Cuál es el % de unión a proteínas de Sulpirida?
G00072803-14-alplax-digest-web#0210,¿Cuál es el efecto adverso más común del alprazolam?
G00072904-04-web#0240,¿Qué tratamiento se recomienda para la sobredosis de allopurinol?
G00072904-04-web#0255,¿Quién debe evitar ALLOPURINOL si está embarazada?
G00073003-10-alplax-web#0270,Qué contiene Almidón pregelatinizado en ALPLAX 0.5?
G00073003-10-alplax-web#0285,¿Qué cantidad de Alprazolam hay en cada ALPLAX® 2?
G00073003-10-alplax-web#0300,¿Cuál es la temperatura máxima para Alplax?
G00073204-10-alplax-net-web#0315,¿Cómo afecta la cimetidina a los niveles de alprazolam?
G00073301-06-ProspectoWebAminomux#0330,¿Cuál es la velocidad máxima de pamidronato disódico en hipercalcemias?
G00073301-06-ProspectoWebAminomux#0345,¿Cuál es la temperatura máxima permitida para almacenar el medicamento AMINOMUX?
G00073406-03-ProspectoWebBiletan-BiletanForte-BiletanForte200#0360,¿Cuál es la temperatura óptima para conservar BILETAN FORTE 200?
G00073701-09-Coracil_web#0375,¿Qué reducción de El C-LDL con ezetimibe + simvastatina?
G00073803-12-biletan-e-web#0405,¿Cuál es el máximo de unidades de lipasa por kilogramo de peso recomendado?
G00074603-13-danantizol-web#0420,¿Cómo actúa el metimazol en la síntesis de hormonas tiroideas?
G00074704-02-Cortipyren_B_web#0435,¿Cuánto Lactosa Monohidrato tiene CORTIPYREN B 4?
G00074704-02-Cortipyren_B_web#0450,¿Puede Dado causar efectos secundarios con glucocorticoides?
G00074902-04-Clinadol_Fte_y_Fote_AP-web#0465,¿Qué riesgo asocia AINES a úlceras y hemorragias?
G00075106-08-filten-web#0480,¿Cuánto Carvedilol hay por comprimido de FILTEN® 50?
G00075106-08-filten-web#0495,"¿Qué ingrediente contiene el Cada de FILTEN 3,125?"
G00075301-12-web-calcimax#0525,¿Qué uso tiene este medicamento para osteoporosis?
