chunk_id,question,answer
03-Prospecto-Gadopril#0000,¿Qué forma de comprimidos tiene el medicamento GADOPRIL?,Comprimidos ranurados
03-Prospecto-Gadopril#0001,¿Cuánto bicarbonato de sodio contiene cada comprimido ranurado de GADOPRIL?,1.279 mg
03-Prospecto-Gadopril#0002,"¿Cuál es la cantidad de lactosa monohidrato en cada comprimido ranurado de GADOPRIL® 2,5?",75.871 mg
03-Prospecto-Gadopril#0003,¿Cuánto mg de lactosa monohidrato contiene cada comprimido ranurado de GADOPRIL?,75.871 mg
03-Prospecto-Gadopril#0005,"¿Cuál es el peso de lactosa monohidrato en cada comprimido ranurado de GADOPRIL® 2,5?",75.871 mg
03-Prospecto-Gadopril#0006,"¿Cuánto mg de lactosa monohidrato contiene cada comprimido ranurado de GADOPRIL® 2,5?","75,871 mg"
03-Prospecto-Gadopril#0007,¿Cuál es el contenido de enalapril maleato en cada comprimido ranurado de GADOPRIL 10?,10.00 mg
03-Prospecto-Gadopril#0008,¿Cuál es la cantidad de povidona CL en cada comprimido ranurado de GADOPRIL?,2.7 mg
03-Prospecto-Gadopril#0009,¿Cuál es la cantidad de dióxido de silicio coloidal en cada comprimido ranurado de GADOPRIL?,1.69 mg
03-Prospecto-Gadopril#0010,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL® 20?,"Enalapril maleato 20,00 mg"
03-Prospecto-Gadopril#0011,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL?,Cada comprimido ranurado de GADOPRIL contiene: Enalapril maleato 20.00 mg
03-Prospecto-Gadopril#0012,¿Cuál es el contenido de enalapril maleato en cada comprimido ranurado de GADOPRIL?,20.00 mg
03-Prospecto-Gadopril#0013,¿Cuál es el código ATC de los inhibidores de la enzima de conversión de angiotensina?,C09A A02
03-Prospecto-Gadopril#0014,¿Qué efecto tiene Gadopril en la secreción de aldosterona?,Una disminución de la secreción de aldosterona.
03-Prospecto-Gadopril#0015,¿Cuántas horas tarda en alcanzar concentraciones máximas el enalaprilato después de una dosis oral de enalapril?,4 horas
03-Prospecto-Gadopril#0016,¿Cuál es la porción de enalaprilato unida a proteínas plasmáticas humanas?,No supera el 60 %
03-Prospecto-Gadopril#0017,¿Cuál es el aumento aproximado en la exposición de enalapril y enalaprilato en pacientes con insuficiencia renal grave?,El ABC de enalaprilato aumentó aproximadamente 8 veces.
03-Prospecto-Gadopril#0018,¿Cuál es la concentración máxima media de enalaprilato en leche materna después de una dosis única de 20 mg?,1.7 μg/l
03-Prospecto-Gadopril#0019,¿Cuántas horas después de la administración de una dosis individual de enalapril ocurre la actividad antihipertensiva?,Una hora después de la administración
03-Prospecto-Gadopril#0020,¿Cuál estudio fue finalizado prematuramente debido a un aumento en el riesgo de resultados adversos?,ALTITUDE
03-Prospecto-Gadopril#0021,¿Cuál fue el resultado de la adición de aliskirén en pacientes con diabetes mellitus tipo 2?,El estudio se dio por finalizado prematuramente a raíz de un aumento en el riesgo de resultados adversos. La muerte por causas cardiovasculares y los ictus fueron ambos numéricamente más frecuentes en el grupo de aliskirén que en el grupo de placebo.
03-Prospecto-Gadopril#0022,¿Cuál fue la reducción del riesgo de muerte en pacientes con insuficiencia cardiaca congestiva tratados con enalapril?,16%
03-Prospecto-Gadopril#0023,¿Cuál fue la reducción en el riesgo de infarto de miocardio con Gadopril?,23%
03-Prospecto-Gadopril#0024,¿Cuál es la dosis máxima diaria recomendada de Gadopril® para pacientes adultos?,40 mg/día
03-Prospecto-Gadopril#0025,¿Cuántas semanas tarda en ajustarse la dosis de Gadopril?,2 a 4 semanas
03-Prospecto-Gadopril#0026,¿Cuál es la dosis máxima recomendada de Gadopril durante las semanas 3 y 4?,20 mg/día
03-Prospecto-Gadopril#0028,¿Cuál es la dosis máxima diaria recomendada de Gadopril para pacientes pediátricos ≥ 50 kg?,40 mg
