chunk_id,question,context_preview,doc_id
03-Prospecto-Gadopril#0000,¿Qué forma de comprimido tiene el medicamento GADOPRIL?,"PROYECTO DE PROSPECTO MÉDICO  GADOPRIL® 2,5- 5-10-20  ENALAPRIL MALEATO 2,5-5-10-20 mg  Comprimidos ranurados  Venta bajo receta  Industria Argentina",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0015,¿Qué efecto tiene Gadopril en la degradación de bradicinina?,INDICACIONES:  Tratamiento de la hipertensión arterial. Tratamiento de la insuficiencia cardiaca sintomática. Prevención de la insuficiencia cardiaca sintomática en pacientes con disfunción ventricular  izquierda asintomática (fracción de e…,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0045,¿Qué efecto tiene enalapril sobre la presión arterial en pacientes de raza negra?,"Carcinogénesis, Mutagénesis, Compromiso de la fertilidad:  No  se  conocen  evidencias  de  carcinogenicidad  en  tratamientos  prolongados  en  ratas  y  ratones,  con  dosis  150  a  300  veces  superiores  a  la  dosis  máxima  recomenda…",03-Prospecto-Gadopril
Aclusin__D1584-E-1324-01-Instrucci_n-Aclusin#0060,¿Cuál medicamento debe usarse con precaución en pacientes con insuficiencia hepática severa?,"Advertencias:  en las siguientes circunstancias el cilostazol deberá ser utilizado con precaución: en  pacientes  con  tendencia  al  sangrado,  pacientes  en  tratamiento  con  anticoagulantes (acenocumarol,  warfarina,  heparina,  etc.), …",Aclusin__D1584-E-1324-01-Instrucci_n-Aclusin
Activil_Comp._Mast.__D0389-E-0929-02-Instrucci_n-Activil-Masticables#0075,¿Qué efecto puede tener el Sildenafil en pacientes con enfermedad cardiovascular?,Advertencias:  se recomienda que antes de la indicación de este  producto la  realización  de una  correcta  anamnesis  y  examen  físico  completo  con  el  fin  de  determinar  el  tratamiento adecuado de la disfunción eréctil en cada pac…,Activil_Comp._Mast.__D0389-E-0929-02-Instrucci_n-Activil-Masticables
Albicar__D1805-E-1517-02-Instrucci_n-Albicar#0090,¿Cuál es la dosis inicial recomendada de Solución Bebible Adultos para un sujeto de 50 kg?,de diálisis. Se recomienda el tratamiento en pacientes con bajas concentraciones plasmáticas prediálisis de carnitina (menos de 40-50 umol/l). Los ajustes ulteriores de dosis deben ser guiados por los niveles plasmáticos prediálisis de carn…,Albicar__D1805-E-1517-02-Instrucci_n-Albicar
Alercas_60__D0186-E-0757-02-Instruccion-Alercas-60#0105,¿Cuál es la edad mínima para el uso seguro de fexofenadina en niños?,Precauciones Embarazo:  no existen estudios adecuados y bien controlados en mujeres embarazadas. La  fexofenadina  solo  debería  usarse  durante  el  embarazo  si  el  beneficio potencial justifica los riesgos potenciales sobre el feto. La…,Alercas_60__D0186-E-0757-02-Instruccion-Alercas-60
Alercas_D__D2913-E-2587-01-Instruccion-Alercas-D#0120,¿Cuál es la acción presora de la pseudoefedrina en adultos normotensos?,Acción Farmacológica:  la fexofenadina es un antagonista selectivo de los receptores  H1  de  la  histamina  a  nivel  periférico. En  experimentación  animal  no  se  han registrado efectos colaterales derivados del bloqueo colinérgico o a…,Alercas_D__D2913-E-2587-01-Instruccion-Alercas-D
Algicur__D2737-E-2415-01-Instruccion-Algicur#0135,¿Qué tipo de reacciones adversas se observan con mayor frecuencia en pacientes que toman este medicamento?,"Reacciones adversas:  las reacciones adversas se tabulan a continuación, clasificados por órganos y sistemas y ordenados según frecuencia:  2  Las  reacciones  adversas  que  se  observan  con  mayor  frecuencia  son  de  naturaleza  gastro…",Algicur__D2737-E-2415-01-Instruccion-Algicur
Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1#0150,¿Qué tipo de infecciones pueden ser tratadas con AMOCLAV DUO?,Indicaciones:  infecciones por gérmenes sensibles. AMOCLAV® DUO está indicado en el tratamiento de infecciones causadas por cepas sensibles de los gérmenes abajo descriptos para las siguientes patologías: -  Infecciones  del  tracto  respir…,Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1
Amoclav_Duo__D0285-E-0850-05-Instrucci_n-Amoclav-Duo-Comprimidos-1#0165,¿Cuál medicamento debe evitarse al administrar AMOCLAV DUO?,Interacciones  medicamentosas:  el  Probenecid  disminuye  la  secreción  tubular  de Amoxicilina. El  uso  concomitante  de  AMOCLAV  DUO  y  Probenecid  puede  dar  como resultado un incremento y duración de los niveles sanguíneos de Amox…,Amoclav_Duo__D0285-E-0850-05-Instrucci_n-Amoclav-Duo-Comprimidos-1
Amoclav_SE__MKG-Instruccion-Amoclav-SE#0180,¿Cuál es el medicamento que se recomienda administrar con precaución en pacientes con disfunción hepática?,experimenten diarrea luego de la administración de agentes antibacterianos. El tratamiento con agentes antibacterianos altera la flora normal del colon y posiblemente genere un crecimiento excesivo de clostridium. Los estudios indican que u…,Amoclav_SE__MKG-Instruccion-Amoclav-SE
