chunk_id,question,answer
03-Prospecto-Gadopril#0000,¿Qué forma de comprimido tiene el medicamento GADOPRIL?,Comprimidos ranurados
03-Prospecto-Gadopril#0015,¿Qué efecto tiene Gadopril en la degradación de bradicinina?,Gadopril puede bloquear la degradación de bradicinina.
03-Prospecto-Gadopril#0045,¿Qué efecto tiene enalapril sobre la presión arterial en pacientes de raza negra?,"Aparentemente, enalapril es menos efectivo disminuyendo la presión arterial en pacientes de raza negra."
Aclusin__D1584-E-1324-01-Instrucci_n-Aclusin#0060,¿Cuál medicamento debe usarse con precaución en pacientes con insuficiencia hepática severa?,Cilostazol
Activil_Comp._Mast.__D0389-E-0929-02-Instrucci_n-Activil-Masticables#0075,¿Qué efecto puede tener el Sildenafil en pacientes con enfermedad cardiovascular?,El Sildenafil puede afectar adversamente a pacientes con enfermedad cardiovascular debido a su efecto vasodilatador sistémico que produce disminución transitoria de la presión arterial.
Albicar__D1805-E-1517-02-Instrucci_n-Albicar#0090,¿Cuál es la dosis inicial recomendada de Solución Bebible Adultos para un sujeto de 50 kg?,1 g/día
Alercas_60__D0186-E-0757-02-Instruccion-Alercas-60#0105,¿Cuál es la edad mínima para el uso seguro de fexofenadina en niños?,12 años de edad
Alercas_D__D2913-E-2587-01-Instruccion-Alercas-D#0120,¿Cuál es la acción presora de la pseudoefedrina en adultos normotensos?,Leve o nula
Algicur__D2737-E-2415-01-Instruccion-Algicur#0135,¿Qué tipo de reacciones adversas se observan con mayor frecuencia en pacientes que toman este medicamento?,Las reacciones adversas que se observan con mayor frecuencia son de naturaleza gastrointestinal.
Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1#0150,¿Qué tipo de infecciones pueden ser tratadas con AMOCLAV DUO?,"Infecciones del tracto respiratorio inferior, otitis media, sinusitis, infecciones dermatológicas y infecciones del tracto urinario causadas por gérmenes sensibles a ampicilina o productores de ß-lactamasas."
Amoclav_Duo__D0285-E-0850-05-Instrucci_n-Amoclav-Duo-Comprimidos-1#0165,¿Cuál medicamento debe evitarse al administrar AMOCLAV DUO?,Disulfiran
Amoclav_SE__MKG-Instruccion-Amoclav-SE#0180,¿Cuál es el medicamento que se recomienda administrar con precaución en pacientes con disfunción hepática?,AMOCLAV SE
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0210,¿Qué es la función principal de la HMG-CoA reductasa en el cuerpo?,"La HMG-CoA reductasa es la enzima que limita la velocidad de conversión de 3-hidroxi-3-metilglutaril-Coenzima A en mevalonato, un precursor de los esteroles, incluido el colesterol."
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0225,¿Cuál es la importancia clínica de la interacción con otras drogas?,No se especifica la importancia clínica de la interacción con otras drogas.
Ampliar_80__Instruccion-Ampliar-80-180x600-web#0240,¿Cuántos comprimidos tiene cada envase?,30
Ampliar_Duo__D1443-E-0604-02-INSTRUCCION-AMPLIAR-DUO#0255,¿Cuál es la reacción adversa más común con ezetimibe en pacientes que reciben solo este medicamento?,cefalea
Ampliar_Plus__D1461-E-1203-03-Instrucci_n-Ampliar-Plus#0270,¿Cuál es la dosis máxima recomendada de atorvastatina en humanos?,80 mg/kg/día
Ampliar__D1174-E-0330-03-Instruccion-Ampliar-10-y-20#0285,¿Cuál es el efecto de la insuficiencia renal en las concentraciones plasmáticas de atorvastatin?,El deterioro de la función renal no tiene influencia sobre las concentraciones plasmáticas y los efectos hipolipemiantes del atorvastatin.
Antimicon__E-1423-02-Instruccion-Antimicon#0300,¿Qué temperatura debe mantenerse el medicamento Antimicon?,Desde 15°C hasta 30°C
Bemplas__D2948-E-2621-01-Instruccion-Bemblas-1#0315,¿Cómo ejerce su efecto diurético la clortalidona?,La clortalidona ejerce su efecto diurético a través de la inhibición de la reabsorción distal de sodio a nivel nefronal.
Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB#0330,¿Qué precaución se recomienda especialmente en pacientes con antecedentes de descompensación cardíaca?,Retención hidrosalina y edemas
Blokium_B12_IM__Instrucci_n-Blokium-B12-IM-para-WEB#0345,¿Cómo conservar BLOKIUM B12 IM?,Conservar entre 15 y 30°C. Mantener alejado del alcance de los niños.
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0360,¿Cuál es el medicamento que puede inhibir la acción farmacológica de los diuréticos?,BLOKIUM CORT
Blokium_Cox_Gesic__D7689-E-7350-01-INST.-BLOKIUM-COX-GESIC-COMPLETA-UHLMANN-200x600-web#0375,¿Cuál medicamento puede potenciar la acción del paracetamol?,Propa nol ol
Blokium_Cox__Instruccion-Blokium-Cox-editable#0390,¿Cuál es la indicación principal del medicamento BLOKIUM COX?,"El alivio sintomático de la artrosis u osteoartritis (OA), espondilitis anquilosante, artritis reumatoidea (AR) y el dolor y los signos de inflamación asociados con la artritis gotosa aguda."
Blokium_Cox__Instruccion-Blokium-Cox-editable#0405,¿Qué efecto adverso puede ocurrir con BLOKIUM COX?,"Debilidad y fatiga, mareo, dolor de cabeza"
Blokium_Flex__D2807-E-2481-03-Instrucci_n-Blokium-Flex-Sol-Inyectable-y-Comprimidos#0420,¿Qué efecto puede tener el diclofenac en los niveles plasmáticos del litio?,El diclofenac puede disminuir la depuración renal de litio y elevar los niveles plasmáticos del mismo.
Blokium_Gel__Instruccion-Blokium-Gel-editable#0435,¿Qué tipo de inhibidor es el diclofenac?,inhibidor de la prostaglandina sintetasa
Blokium_Gesic_Forte__Instruccion-Blokium-Gesic-Forte-web#0450,¿Qué es el tratamiento sintomático de la dismenorrea primaria?,"Antiinflamatorio, analgésico y antipirético no esteroide."
Blokium_P__MKG-Instruccion-Blokium-P#0495,¿Cuál es el tipo de medicamento que es el diclofenac potásico?,Antiinflamatorio no esteroideo (AINE)
Blokium_Protect__D2936-E-2609-01-Instruccion-Blokium-Protect#0510,¿Qué es el mecanismo de acción del diclofenac en el proceso inflamatorio?,"El diclofenac inhibe la síntesis y liberación de prostaglandinas durante el proceso inflamatorio, inhibiendo ambas isoenzimas ciclo-oxigenasas conocidas (COX1 y COX2)."
Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web#0540,¿Cuántas veces mayor fue la exposición al ácido bempedoico en pacientes con insuficiencia renal leve?,1.4 veces
Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web#0555,¿Cuál es el medicamento que debe evitarse en pacientes con insuficiencia renal?,"No se menciona un medicamento específico que deba evitarse en pacientes con insuficiencia renal. Sin embargo, el uso de fluoroquinolonas podría ser problemático."
Broncho-Vaxom_C_psulas__D0265-E-0829-05-Instrucci_n-Broncho-Vaxom-C_psulas-1#0570,¿Qué precaución se recomienda durante el embarazo con BRONCHO-VAXOM?,Es recomendable evitar el uso de BRONCHO-VAXOM durante el embarazo.
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0585,¿Cuál es el efecto de la edad en la farmacocinética del levetiracetam?,"La farmacocinética de levetiracetam se evaluó en 16 sujetos ancianos con clearance de creatinina que se extendía de 30 a 74 mL/min. El clearance corporal total disminuyó 38% y la vida media fue 2,5 horas más prolongada en los ancianos."
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0600,¿Cuál fue el evento psiquiátrico informado con mayor frecuencia en pacientes tratados con levetiracetam?,La irritabilidad
Callexe_XR__Callexe-XR_compressed#0615,¿Cuál es el peso de hidroxipropilmetilcelulosa K 15 en los comprimidos recubiertos de liberación extendida x 750 mg?,"198,000 mg"
Callexe_XR__Callexe-XR_compressed#0630,¿Cuál es el efecto de levetiracetam en la farmacocinética del valproato?,Levetiracetam comprimidos de liberación inmediata (1.500 mg dos veces por día) no alteró la farmacocinética de valproato en voluntarios sanos.
Cardiplen_2_5_5_y_10_mg__D7143-E-6804-01-INST.-CARDIPLEN-COMPLETO-UHLMANN-250x150-mm-web#0645,¿Cuál es la dosis máxima recomendada de CARDIPLEN para el tratamiento de insuficiencia cardíaca crónica estable?,10 mg una vez al día
Carrier_20__D1958-E-1672-02-Instruccion-Carrier-20-1#0660,¿Cuál es el tratamiento sintomático para la demencia tipo Alzheimer de intensidad moderada a severa?,tratamiento sintomático de la demencia tipo Alzheimer de intensidad moderada a severa
Carrier_Plus__D2129-E-1850-02-Instruccion-Carrier-plus#0675,¿Cuál es el efecto adverso más común de la memantina en pacientes con asma?,Trastornos respiratorios
Carrier_XR__D3160-E-2834-01-Instruccion-CarrierXR#0690,¿Cuál es el número de certificado del medicamento CARRIER XR?,51.342
Cominar__D2745-E-2423-01-Instruccion-Cominar-1#0705,¿Cuánto lactosa contiene cada cápsula de Diacereína?,226.0 mg
Conductasa_1200__Instruccion-Conductasa-1200-180x300-WEB#0720,¿Cuál es el efecto de la mesalazina en la activación de NFkB?,La mesalazina puede inhibir la activación de NFkB.
Corticas_Crema__D2347-E-1917-01-Instrucci_n-Corticas-Crema-1#0750,¿Qué efecto tiene la inflamación en la absorción percutánea de los corticoides tópicos?,"{   ""answer"": La inflamación aumenta la absorción percutánea de los corticoides tópicos. }"
Corticas_L_UD__D2156-E-1877-01-Instruccion-CORTICAS-L-UD-1#0765,¿Qué pacientes no deben usar CORTICAS L UD?,Pacientes con hipersensibilidad o idiosincrasia demostrada a cualquiera de sus componentes y pacientes con infecciones micóticas sistémicas.
Corticas_L__D1689-E-1557-01-Instrucci_n-Corticas-L-1#0780,¿Cuál es el efecto de la rifampicina en los corticosteroides durante la quimioprofilaxis?,"La rifampicina incrementa la depuración metabólica hepática de los corticosteroides, por lo cual puede ser necesario un ajuste de la dosis de los mismos."
Crada__Instruccion-Crada-Web-1#0795,¿Cómo debe ser administrado CRADA según las instrucciones?,Siga exactamente las instrucciones de administración de CRADA indicadas por su médico.
Crono_Corticas__D1735-E-1446-02-Instruccion-Crono-Corticas#0810,¿Qué temperatura se recomienda para conservar el medicamento?,Entre 15°C y 30°C
Danlox_40_Venta_Libre___D0995-E-0321-04-Instrucci_n-Danlox-2#0825,¿Cuál es la dosis habitual de DANLOX para tratar una ulcera duodenal?,20 mg por día
Dercolina_A__Instruccion-Dercolina-A-Adultos#0840,¿Cuál es la edad mínima para usar DERCOLINA A Adultos en niños?,12 años de edad
Dercolina__D2607-E-2285-01-Instruccion-Dercolina-Jalea#0855,¿Qué tipo de lesiones se mencionan en el contexto?,"ulceraciones, heridas, irritaciones de la mucosa bucal"
Detixol__D3222-E-2897-01-Instruccion-Detixol#0870,¿Cuántas horas prolonga la actividad terapéutica del Succinato de doxilamina?,4-6 horas
Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1#0885,¿Cuál es el riesgo de efectos adversos causados por la amantadina cuando se administra concomitantemente con diuréticos tiazídicos?,La administración concomitante de diuréticos tiazídicos puede aumentar el riesgo de efectos adversos causados por amantadina.
Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1#0900,¿Qué síntomas deben notar los pacientes que toman DILCORAN D?,"Hinchazón en la cara, lengua o faringe, dificultad para tragar, urticaria y dificultad para respirar."
Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1#0915,¿Cuál es el efecto de la insuficiencia renal en la vida media de eliminación de hidroclorotiazida?,La vida media de eliminación de hidroclorotiazida es casi el doble en pacientes con insuficiencia renal leve a moderada.
Dilcoran_Plus_D__D5665-E-5330-01-Instruccion-Dilcoran-Plus-D-Uhlmann-600x200-1#0930,¿Qué efecto adverso se asocia con la exposición intrauterina a diuréticos tiazídicos como hidroclorotiazida?,ictericia o trombocitopenia fetal o neonatal
Dilcoran_Plus__D2648-E-2326-01-Instruccion-Dilcoran-Plus#0945,¿Cuál es el efecto principal de la sobredosificación de valsartán en DILCORAN PLUS?,La hipotensión pronunciada con mareo es el principal síntoma de la sobredosificación de valsartán.
Dilcoran__MKG-Instruccion-Dilcoran#0960,¿Cuál es el efecto principal del valsartán sobre la tensión arterial en pacientes con hipertensión?,reduce la tensión arterial sin afectar a la frecuencia cardíaca
Dilcoran__MKG-Instruccion-Dilcoran#0975,¿Cuál es el efecto del valsartán sobre la función hepática en pacientes con hipertensión esencial?,No es necesario un monitoreo especial de los parámetros de laboratorio en los pacientes con hipertensión esencial que reciben tratamiento con valsartán.
Elant__D3071-E-2744-01-Instruccion-Elant#0990,¿Qué clase ATC tiene la teneligliptina?,A10BH
Elifer__D1705-E-1406-02-Instruccion-Elifer#1005,¿Cuál es la cantidad de povidona K30 en cada comprimido recubierto de ELIFER 300?,0.600 mg
Elifer__D1705-E-1406-02-Instruccion-Elifer#1020,¿Cuál es el efecto adverso más comúnmente asociado con el gabapentin en pacientes pediátricos?,Somnolencia
Enabran__D1341-Instrucci_n-Enabran-1#1035,¿Cuál es el síntoma de hiperpirexia asociado al uso del haloperidol?,hiperpirexia
Enabran_gotas__D1341-Instrucci_n-Enabran-1-gotas#1050,¿Cuál es el síndrome que puede aparecer en pacientes con haloperidol a largo plazo?,Disquinesia tardía
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#1065,¿Cuál es el rango de referencia COVANCE para Prolactina en mujeres de 12 a 14 años?,2.52 – 16.90 ng/mL
Enolex__D2339-E-2020-01-Instruccion-Enolex_compressed#1080,¿Cuántas veces la dosis diaria máxima recomendada en seres humanos recibieron los monos rhesus de olanzapina?,8 veces la dosis diaria máxima recomendada en seres humanos sobre una base de mg/m2
Epistal__D1978-E-1691-02-Instrucci_n-Epistal-1#1095,¿Cuál es la incidencia de muertes súbitas inexplicables en pacientes que toman topiramato?,"0,0035 muertes por pacienteaño"
Epistal__D1978-E-1691-02-Instrucci_n-Epistal-1#1110,¿Qué temperatura se recomienda para conservar el medicamento EPISTAL?,Entre 15 y 30 °C
Ernex_Duo__D0299-E-0863-03-Instruccion-Ernex-Duo#1125,¿Qué tipo de venta tiene la Bencidamina?,Venta bajo receta
Ernex_Rosa__D0680-E-0305-03-Instrucci_n-Ernex-Rosa-Polvo#1140,¿Cuánto cloruro de sodio contiene cada sobre?,4.400 g
Exogel__Instruccion-Exogel-1#1155,¿Cuál es la temperatura óptima para conservar EXOGEL?,Entre 15 y 30 °C
Explaner_LP__D1792-E-1508-02-Instrucci_n-Explaner-LP-1#1170,¿Qué efecto adverso puede ocurrir en pacientes con trastorno de la función hepática que toman nimodipina?,La tensión arterial y el pulso deben controlarse cuidadosamente y deben darse dosis menores a las recomendadas.
FILTEN-D-G00081104-05#1185,¿Quién es contraindicado para el tratamiento con Filtén D?,"Pacientes con bradicardia severa, shock cardiogénico, bloqueo AV de segundo y tercer grado, enfermedad del nódulo sinusal, insuficiencia cardíaca descompensada (clase IV NYHA), hipotensión severa, angina variante o de Prinzmetal, hipertensión pulmonar, cor pulmonale, antecedentes de enfermedad obstructiva de las vías aéreas, asma bronquial, insuficiencia hepática o renal severa, anuria, hipersensibilidad conocida al carvedilol, hidroclorotiazida, sulfamidas y derivados, hipopotasemia e hiponatremia refractarias, hipercalcemia, hipofunción de las glándulas suprarrenales, embarazo, lactancia, niños y adolescentes menores de 18 años."
FILTEN-D-G00081104-05#1200,¿Cuál es el efecto común de la medicación en la visión?,Disminución del lagrimeo y alteraciones en la visión
Factor_AE_Venta_Libre___D0751-E-1133-02-Instrucci_n-Factor-AE-1#1215,¿A qué temperatura se debe conservar el medicamento CASASCO?,Entre 15 y 30°C
