chunk_id,question,answer,n_sentences,sentences,sentences_join
03-Prospecto-Gadopril#0000,¿Qué forma de comprimido tiene el medicamento GADOPRIL?,Comprimidos ranurados,3,"['Comprimidos ranurados', 'Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg', 'Cada comprimido ranurado de GADOPRIL® 5 contiene: Enalapril maleato ......................................................................................5,00 mg']","Comprimidos ranurados || Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg || Cada comprimido ranurado de GADOPRIL® 5 contiene: Enalapril maleato ......................................................................................5,00 mg"
03-Prospecto-Gadopril#0015,¿Qué efecto tiene Gadopril en la degradación de bradicinina?,Gadopril puede bloquear la degradación de bradicinina.,1,"['Gadopril® también puede bloquear la degradación de bradicinina, un potente péptido vasodepresor.']","Gadopril® también puede bloquear la degradación de bradicinina, un potente péptido vasodepresor."
03-Prospecto-Gadopril#0045,¿Qué efecto tiene enalapril sobre la presión arterial en pacientes de raza negra?,"Aparentemente, enalapril es menos efectivo disminuyendo la presión arterial en pacientes de raza negra.",1,"['Como sucede con otros inhibidores de la enzima de conversión de angiotensina, aparentemente, enalapril es menos efectivo disminuyendo la presión arterial en pacientes de raza negra que en pacientes que no sean de raza negra, posiblemente debido a una mayor prevalencia de situaciones de niveles bajos de renina en los pacientes hipertensos de raza negra.']","Como sucede con otros inhibidores de la enzima de conversión de angiotensina, aparentemente, enalapril es menos efectivo disminuyendo la presión arterial en pacientes de raza negra que en pacientes que no sean de raza negra, posiblemente debido a una mayor prevalencia de situaciones de niveles bajos de renina en los pacientes hipertensos de raza negra."
Aclusin__D1584-E-1324-01-Instrucci_n-Aclusin#0060,¿Cuál medicamento debe usarse con precaución en pacientes con insuficiencia hepática severa?,Cilostazol,2,"['en pacientes con insuficiencia hepática o renal severas.', 'Inhibidores del citocromo P450; si bien no se han descripto interacciones específicas, cilostazol deberá administrarse con precaución en pacientes que toman simultáneamente inhibidores de amplio espectro del citocromo P450, tales como ketoconazol, eritromicina, fluoxetina, etc.']","en pacientes con insuficiencia hepática o renal severas. || Inhibidores del citocromo P450; si bien no se han descripto interacciones específicas, cilostazol deberá administrarse con precaución en pacientes que toman simultáneamente inhibidores de amplio espectro del citocromo P450, tales como ketoconazol, eritromicina, fluoxetina, etc."
Activil_Comp._Mast.__D0389-E-0929-02-Instrucci_n-Activil-Masticables#0075,¿Qué efecto puede tener el Sildenafil en pacientes con enfermedad cardiovascular?,El Sildenafil puede afectar adversamente a pacientes con enfermedad cardiovascular debido a su efecto vasodilatador sistémico que produce disminución transitoria de la presión arterial.,6,"['Sildenafil tiene efecto vasodilatador sistémico que produce disminución transitoria de la presión arterial.', 'Este efecto, de escasas consecuencias en la mayoría de los pacientes en condiciones normales, puede afectar adversamente a pacientes con enfermedad cardiovascular, más aún si la vasodilatación provocada se combina con actividad sexual.', 'Pacientes no estudiados en ensayos clínicos:  no  existen  datos  de  ensayos  clínicos controlados  que indiquen  la seguridad o eficacia del Sildenafil  en los  siguientes  grupos  de pacientes, por lo que en caso de ser prescripto, deben serlo con extrema precaución:', 'a) pacientes que hayan sufrido infarto de miocardio, accidente cerebrovascular o arritmia severa en los últimos 6 meses.', 'b) Pacientes con hipotensión (presión arterial <90/50 m o hipertensión arterial >170/100).', 'c) Pacientes con historia de insuficiencia cardíaca o enfermedad coronaria causal de angina inestable.']","Sildenafil tiene efecto vasodilatador sistémico que produce disminución transitoria de la presión arterial. || Este efecto, de escasas consecuencias en la mayoría de los pacientes en condiciones normales, puede afectar adversamente a pacientes con enfermedad cardiovascular, más aún si la vasodilatación provocada se combina con actividad sexual. || Pacientes no estudiados en ensayos clínicos:  no  existen  datos  de  ensayos  clínicos controlados  que indiquen  la seguridad o eficacia del Sildenafil  en los  siguientes  grupos  de pacientes, por lo que en caso de ser prescripto, deben serlo con extrema precaución: || a) pacientes que hayan sufrido infarto de miocardio, accidente cerebrovascular o arritmia severa en los últimos 6 meses. || b) Pacientes con hipotensión (presión arterial <90/50 m o hipertensión arterial >170/100). || c) Pacientes con historia de insuficiencia cardíaca o enfermedad coronaria causal de angina inestable."
Albicar__D1805-E-1517-02-Instrucci_n-Albicar#0090,¿Cuál es la dosis inicial recomendada de Solución Bebible Adultos para un sujeto de 50 kg?,1 g/día,1,"['La dosis recomendada es de 1 a 3 g/día (10-30 ml/día) para un sujeto de 50 kg, con una dosis inicial de 1 g/día, incrementándose lentamente según tolerancia y respuesta.']","La dosis recomendada es de 1 a 3 g/día (10-30 ml/día) para un sujeto de 50 kg, con una dosis inicial de 1 g/día, incrementándose lentamente según tolerancia y respuesta."
Alercas_60__D0186-E-0757-02-Instruccion-Alercas-60#0105,¿Cuál es la edad mínima para el uso seguro de fexofenadina en niños?,12 años de edad,1,['La seguridad y eficacia de la fexofenadina no ha sido establecida en pacientes pediátricos menores de l2 años de edad.'],La seguridad y eficacia de la fexofenadina no ha sido establecida en pacientes pediátricos menores de l2 años de edad.
Alercas_D__D2913-E-2587-01-Instruccion-Alercas-D#0120,¿Cuál es la acción presora de la pseudoefedrina en adultos normotensos?,Leve o nula,2,"['En la dosis oral recomendada la acción presora en adultos normotensos es leve o nula.', 'Puede inducir efectos colaterales excitatorios.']",En la dosis oral recomendada la acción presora en adultos normotensos es leve o nula. || Puede inducir efectos colaterales excitatorios.
Algicur__D2737-E-2415-01-Instruccion-Algicur#0135,¿Qué tipo de reacciones adversas se observan con mayor frecuencia en pacientes que toman este medicamento?,Las reacciones adversas que se observan con mayor frecuencia son de naturaleza gastrointestinal.,3,"['Las reacciones adversas que se observan con mayor frecuencia son de naturaleza gastrointestinal.', 'Tras la administración, se han comunicado casos de náuseas, vómitos, diarrea, flatulencia, estreñimiento, dispepsia, dolor abdominal, melenas, hematemesis, estomatitis ulcerativa, exacerbación de colitis y enfermedad de Crohn.', 'Pueden aparecer úlceras pépticas, perforaciones o hemorragias gastrointestinales, especialmente en ancianos.']","Las reacciones adversas que se observan con mayor frecuencia son de naturaleza gastrointestinal. || Tras la administración, se han comunicado casos de náuseas, vómitos, diarrea, flatulencia, estreñimiento, dispepsia, dolor abdominal, melenas, hematemesis, estomatitis ulcerativa, exacerbación de colitis y enfermedad de Crohn. || Pueden aparecer úlceras pépticas, perforaciones o hemorragias gastrointestinales, especialmente en ancianos."
Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1#0150,¿Qué tipo de infecciones pueden ser tratadas con AMOCLAV DUO?,"Infecciones del tracto respiratorio inferior, otitis media, sinusitis, infecciones dermatológicas y infecciones del tracto urinario causadas por gérmenes sensibles a ampicilina o productores de ß-lactamasas.",6,"['AMOCLAV® DUO está indicado en el tratamiento de infecciones causadas por cepas sensibles de los gérmenes abajo descriptos para las siguientes patologías:', '-  Infecciones del tracto respiratorio inferior: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella) catarrhalis.', '-  Otitis media: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella)catarrhalis.', '- Sinusitis: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella) catarrhalis.', '-  Infecciones dermatológicas: causadas por cepas productoras de ß-lactamasas de Staphilococcus aureus, Escherichia coli y    Klebsiella spp.', '-  Infecciones del tracto urinario: causadas por cepas productoras de ß-lactamasas de Escherichia coli, Enterobacter spp. y Klebsiella spp.']","AMOCLAV® DUO está indicado en el tratamiento de infecciones causadas por cepas sensibles de los gérmenes abajo descriptos para las siguientes patologías: || -  Infecciones del tracto respiratorio inferior: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella) catarrhalis. || -  Otitis media: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella)catarrhalis. || - Sinusitis: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella) catarrhalis. || -  Infecciones dermatológicas: causadas por cepas productoras de ß-lactamasas de Staphilococcus aureus, Escherichia coli y    Klebsiella spp. || -  Infecciones del tracto urinario: causadas por cepas productoras de ß-lactamasas de Escherichia coli, Enterobacter spp. y Klebsiella spp."
