chunk_id,question_original,question_evolved
03-Prospecto-Gadopril#0000,¿Qué forma de comprimidos tiene el medicamento GADOPRIL?,¿Qué forma de comprimidos tiene el medicamento GADOPRIL?
03-Prospecto-Gadopril#0001,¿Cuánto bicarbonato de sodio contiene cada comprimido ranurado de GADOPRIL?,¿Qué cantidad de bicarbonato es en cada GADOPRIL?
03-Prospecto-Gadopril#0002,"¿Cuál es la cantidad de lactosa monohidrato en cada comprimido ranurado de GADOPRIL® 2,5?",¿Cuánto lactosa hay en un comprimido de GADOPRIL?
03-Prospecto-Gadopril#0003,¿Cuánto mg de lactosa monohidrato contiene cada comprimido ranurado de GADOPRIL?,¿Cuánto mg de lactosa en GADOPRIL cada comprimido?
03-Prospecto-Gadopril#0005,"¿Cuál es el peso de lactosa monohidrato en cada comprimido ranurado de GADOPRIL® 2,5?","¿Cuál es el peso de lactosa monohidrato en GADOPRIL® 2,5?"
03-Prospecto-Gadopril#0006,"¿Cuánto mg de lactosa monohidrato contiene cada comprimido ranurado de GADOPRIL® 2,5?","¿Cómo es el contenido de lactosa en GADOPRIL 2,5?"
03-Prospecto-Gadopril#0007,¿Cuál es el contenido de enalapril maleato en cada comprimido ranurado de GADOPRIL 10?,Qué contiene enalapril maleato de GADOPRIL 10?
03-Prospecto-Gadopril#0008,¿Cuál es la cantidad de povidona CL en cada comprimido ranurado de GADOPRIL?,¿Cuánta povidona CL contiene GADOPRIL en cada comprimido?
03-Prospecto-Gadopril#0009,¿Cuál es la cantidad de dióxido de silicio coloidal en cada comprimido ranurado de GADOPRIL?,¿Qué contenido de GADOPRIL contiene cada comprimido ranurado?
03-Prospecto-Gadopril#0010,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL® 20?,¿Qué contiene cada GADOPRIL ranurado de 20 mg?
03-Prospecto-Gadopril#0011,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL?,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL?
03-Prospecto-Gadopril#0012,¿Cuál es el contenido de enalapril maleato en cada comprimido ranurado de GADOPRIL?,En qué cantidad está enalapril en GADOPRIL?
03-Prospecto-Gadopril#0013,¿Cuál es el código ATC de los inhibidores de la enzima de conversión de angiotensina?,¿Qué ATC son los Inhibidores de la ECA como Antihipertensivos?
03-Prospecto-Gadopril#0014,¿Qué efecto tiene Gadopril en la secreción de aldosterona?,¿Qué efecto tiene Gadopril en la secreción de aldosterona?
03-Prospecto-Gadopril#0015,¿Cuántas horas tarda en alcanzar concentraciones máximas el enalaprilato después de una dosis oral de enalapril?,¿Cuánto tarda el Enalaprilato en alcanzar máximas concentraciones?
03-Prospecto-Gadopril#0016,¿Cuál es la porción de enalaprilato unida a proteínas plasmáticas humanas?,¿Cuál es la porción de enalaprilato unida a proteínas plasmáticas humanas?
03-Prospecto-Gadopril#0017,¿Cuál es el aumento aproximado en la exposición de enalapril y enalaprilato en pacientes con insuficiencia renal grave?,¿Cuál es el aumento aproximado en la exposición de enalapril y enalaprilato en pacientes con insuficiencia renal grave?
03-Prospecto-Gadopril#0018,¿Cuál es la concentración máxima media de enalaprilato en leche materna después de una dosis única de 20 mg?,¿Cuál es la concentración máxima media de enalaprilato en leche materna después de una dosis única de 20 mg?
03-Prospecto-Gadopril#0019,¿Cuántas horas después de la administración de una dosis individual de enalapril ocurre la actividad antihipertensiva?,¿Cuántas horas después de la administración de una dosis individual de enalapril ocurre la actividad antihipertensiva?
03-Prospecto-Gadopril#0020,¿Cuál estudio fue finalizado prematuramente debido a un aumento en el riesgo de resultados adversos?,¿Qué estudio fue finalizado por riesgo de resultados adversos?
03-Prospecto-Gadopril#0021,¿Cuál fue el resultado de la adición de aliskirén en pacientes con diabetes mellitus tipo 2?,¿Cuál fue el resultado de la adición de aliskirén en pacientes con diabetes mellitus tipo 2?
03-Prospecto-Gadopril#0022,¿Cuál fue la reducción del riesgo de muerte en pacientes con insuficiencia cardiaca congestiva tratados con enalapril?,¿Qué riesgo de muerte disminuyó con Gadopril en IC?
03-Prospecto-Gadopril#0023,¿Cuál fue la reducción en el riesgo de infarto de miocardio con Gadopril?,¿Qué efecto tuvo Gadopril en infartos de miocardio?
03-Prospecto-Gadopril#0024,¿Cuál es la dosis máxima diaria recomendada de Gadopril® para pacientes adultos?,¿Cuál es la dosis máxima de Gadopril para adultos?
03-Prospecto-Gadopril#0025,¿Cuántas semanas tarda en ajustarse la dosis de Gadopril?,¿Cuánto tiempo tarda Gadopril en ajustar su dosis?
03-Prospecto-Gadopril#0026,¿Cuál es la dosis máxima recomendada de Gadopril durante las semanas 3 y 4?,¿Qué dosis máximas de Gadopril en semanas 3-4?
03-Prospecto-Gadopril#0028,¿Cuál es la dosis máxima diaria recomendada de Gadopril para pacientes pediátricos ≥ 50 kg?,¿Cuánto Gadopril recomienda para niños > 50kg?
03-Prospecto-Gadopril#0029,¿Qué pacientes deben evitar el uso concomitante de Gadopril®?,¿Qué pacientes deben evitar Gadopril® con otros medicamentos?
03-Prospecto-Gadopril#0030,¿Cuál es el efecto que Gadopril puede ocasionar en pacientes con insuficiencia cardiaca y presión arterial normal o baja?,Qué ocurre en ICF con Gadopril y PA normal/baja?
03-Prospecto-Gadopril#0031,¿Cuál es el síntoma que puede ocurrir en pacientes tratados con Gadopril®?,¿Cuál es el síntoma que puede ocurrir en pacientes tratados con Gadopril®?
03-Prospecto-Gadopril#0032,¿Cuál es el medicamento que está contraindicado debido al riesgo elevado de sufrir angioedema?,¿Qué medicamento está contraindicado por angioedema según la ley?
03-Prospecto-Gadopril#0033,¿Cuál es el efecto de los inhibidores de la ECA en pacientes con hipertensión?,¿Cuál es el efecto de los inhibidores de la ECA en pacientes con hipertensión?
03-Prospecto-Gadopril#0034,¿Cuál medicamento puede causar hiperpotasemia en pacientes con insuficiencia renal?,¿Cuál medicamento puede causar hiperpotasemia en pacientes con insuficiencia renal?
03-Prospecto-Gadopril#0035,¿Cuál medicamento puede aumentar el riesgo de angioedema cuando se usa concomitante con Gadopril?,¿Qué medicamento con Gadopril aumenta el riesgo de angioedema?
03-Prospecto-Gadopril#0036,¿Cuál medicamento puede reducir el efecto antihipertensivo de los antagonistas del receptor de la angiotensina II o de los inhibidores de la ECA?,¿Qué medicamento interactúa con los ARA II o ECA inhibidores?
03-Prospecto-Gadopril#0037,¿Cuál es el efecto potencial del alcohol en los inhibidores de la ECA?,¿Cuál es el efecto potencial del alcohol en los inhibidores de la ECA?
03-Prospecto-Gadopril#0038,¿Cuándo debe interrumpirse el tratamiento con inhibidores de la ECA?,¿Qué ocurre con los ECA durante un Decreto?
03-Prospecto-Gadopril#0039,¿Cuál es la población que no debe recibir Gadopril®?,¿Qué grupos de personas no reciben Gadopril?
03-Prospecto-Gadopril#0040,¿Cuál es el efecto de enalapril sobre la presión arterial en pacientes de raza negra?,¿Cuál es el efecto de enalapril sobre la presión arterial en pacientes de raza negra?
03-Prospecto-Gadopril#0041,¿Qué efecto adverso puede causar enalapril en pacientes de alto riesgo?,¿Puede causar enalapril alteraciones en alto riesgo?
