chunk_id,question
03-Prospecto-Gadopril#0000,¿Qué forma de comprimidos tiene el medicamento GADOPRIL?
03-Prospecto-Gadopril#0001,¿Qué cantidad de bicarbonato es en cada GADOPRIL?
03-Prospecto-Gadopril#0002,¿Cuánto lactosa hay en un comprimido de GADOPRIL?
03-Prospecto-Gadopril#0003,¿Cuánto mg de lactosa en GADOPRIL cada comprimido?
03-Prospecto-Gadopril#0005,"¿Cuál es el peso de lactosa monohidrato en GADOPRIL® 2,5?"
03-Prospecto-Gadopril#0006,"¿Cómo es el contenido de lactosa en GADOPRIL 2,5?"
03-Prospecto-Gadopril#0007,Qué contiene enalapril maleato de GADOPRIL 10?
03-Prospecto-Gadopril#0008,¿Cuánta povidona CL contiene GADOPRIL en cada comprimido?
03-Prospecto-Gadopril#0009,¿Qué contenido de GADOPRIL contiene cada comprimido ranurado?
03-Prospecto-Gadopril#0010,¿Qué contiene cada GADOPRIL ranurado de 20 mg?
03-Prospecto-Gadopril#0011,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL?
03-Prospecto-Gadopril#0012,En qué cantidad está enalapril en GADOPRIL?
03-Prospecto-Gadopril#0013,¿Qué ATC son los Inhibidores de la ECA como Antihipertensivos?
03-Prospecto-Gadopril#0014,¿Qué efecto tiene Gadopril en la secreción de aldosterona?
03-Prospecto-Gadopril#0015,¿Cuánto tarda el Enalaprilato en alcanzar máximas concentraciones?
03-Prospecto-Gadopril#0016,¿Cuál es la porción de enalaprilato unida a proteínas plasmáticas humanas?
03-Prospecto-Gadopril#0017,¿Cuál es el aumento aproximado en la exposición de enalapril y enalaprilato en pacientes con insuficiencia renal grave?
03-Prospecto-Gadopril#0018,¿Cuál es la concentración máxima media de enalaprilato en leche materna después de una dosis única de 20 mg?
03-Prospecto-Gadopril#0019,¿Cuántas horas después de la administración de una dosis individual de enalapril ocurre la actividad antihipertensiva?
03-Prospecto-Gadopril#0020,¿Qué estudio fue finalizado por riesgo de resultados adversos?
03-Prospecto-Gadopril#0021,¿Cuál fue el resultado de la adición de aliskirén en pacientes con diabetes mellitus tipo 2?
03-Prospecto-Gadopril#0022,¿Qué riesgo de muerte disminuyó con Gadopril en IC?
03-Prospecto-Gadopril#0023,¿Qué efecto tuvo Gadopril en infartos de miocardio?
03-Prospecto-Gadopril#0024,¿Cuál es la dosis máxima de Gadopril para adultos?
03-Prospecto-Gadopril#0026,¿Qué dosis máximas de Gadopril en semanas 3-4?
03-Prospecto-Gadopril#0028,¿Cuánto Gadopril recomienda para niños > 50kg?
03-Prospecto-Gadopril#0029,¿Qué pacientes deben evitar Gadopril® con otros medicamentos?
03-Prospecto-Gadopril#0030,Qué ocurre en ICF con Gadopril y PA normal/baja?
03-Prospecto-Gadopril#0031,¿Cuál es el síntoma que puede ocurrir en pacientes tratados con Gadopril®?
03-Prospecto-Gadopril#0032,¿Qué medicamento está contraindicado por angioedema según la ley?
03-Prospecto-Gadopril#0033,¿Cuál es el efecto de los inhibidores de la ECA en pacientes con hipertensión?
03-Prospecto-Gadopril#0034,¿Cuál medicamento puede causar hiperpotasemia en pacientes con insuficiencia renal?
03-Prospecto-Gadopril#0035,¿Qué medicamento con Gadopril aumenta el riesgo de angioedema?
03-Prospecto-Gadopril#0036,¿Qué medicamento interactúa con los ARA II o ECA inhibidores?
03-Prospecto-Gadopril#0037,¿Cuál es el efecto potencial del alcohol en los inhibidores de la ECA?
03-Prospecto-Gadopril#0039,¿Qué grupos de personas no reciben Gadopril?
03-Prospecto-Gadopril#0040,¿Cuál es el efecto de enalapril sobre la presión arterial en pacientes de raza negra?
03-Prospecto-Gadopril#0041,¿Puede causar enalapril alteraciones en alto riesgo?
03-Prospecto-Gadopril#0043,¿Cuál es el tratamiento recomendado para la sobredosificación de maleato de enalapril?
E.DP_.Caps_.Gador_.v01_web#0046,¿Cuánta Vitamina E tiene DEKAs® PLUS en cada cápsula blanda?
E.DP_.Caps_.Gador_.v01_web#0047,¿Cuánta Levadura de selenio hay en cápsulas blanda?
EmoformTotalG00075702-09-web#0048,¿Qué es el etidronato en Emo form Total?
EmoformTotalG00075702-09-web#0049,¿Qué dice ANMAT sobre Higiene Oral de Uso Odontológico?
FILTEN-D-G00081104-05#0050,¿Cuál es el código ATC de FILTEN D?
FILTEN-D-G00081104-05#0051,¿Cuál es la vida media de eliminación de Hidroclorotiazida?
