chunk_id,question,context_preview,doc_id
03-Prospecto-Gadopril#0000,¿Qué dosis de GADOPRIL® se encuentran disponibles en el mercado?,"PROYECTO DE PROSPECTO MÉDICO  GADOPRIL® 2,5- 5-10-20  ENALAPRIL MALEATO 2,5-5-10-20 mg  Comprimidos ranurados  Venta bajo receta  Industria Argentina",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0050,¿Cuándo se invita a los profesionales sanitarios a notificar las sospechas de reacciones adversas al medicamento?,Es  importante  notificar  la  sospecha  de  reacciones  adversas  al  medicamento  tras  su:  autorización. Ello  permite  una  supervisión  continuada  de  la  relación  beneficio/riesgo  del  medicamento. Se  invita  a  los  profesionale…,03-Prospecto-Gadopril
Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1#0150,¿Qué gérmenes son sensibles al medicamento AMOCLAV DUO?,Indicaciones:  infecciones por gérmenes sensibles. AMOCLAV® DUO está indicado en el tratamiento de infecciones causadas por cepas sensibles de los gérmenes abajo descriptos para las siguientes patologías: -  Infecciones  del  tracto  respir…,Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1
Ampliar_40__D1896-E-1603-01-Instruccion-Ampliar-40#0200,¿Es contraindicado el medicamento para mujeres en edad fértil que no utilizan un método anticonceptivo adecuado?,"Contraindicaciones:  hipersensibilidad  a  cualquier  componente  de  la  fórmula,  enfermedad hepática activa, niveles de transaminasas elevados en forma persistentes (más de 3 veces el límite superior de la normalidad), embarazo, lactanci…",Ampliar_40__D1896-E-1603-01-Instruccion-Ampliar-40
Antimicon__E-1423-02-Instruccion-Antimicon#0300,¿A qué temperatura se deben conservar los comprimidos de Flucanazol?,"Presentación:  envases con 2 y 4 comprimidos. Fecha de última revisión: enero de 2012  Forma de conservación - Conservar a temperatura ambiente desde 15°C hasta 30°C, al abrigo de la humedad. - Mantener alejado del alcance de los niños. Dir…",Antimicon__E-1423-02-Instruccion-Antimicon
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0350,¿Cuál es el tratamiento recomendado para la hipoprotrombinemia en pacientes que han ingerido diclofenac?,"hemodiálisis, necesaria en algunos casos para el tratamiento de la insuficiencia renal secundaria a la intoxicación por AINEs, puede acelerar la eliminación del diclofenac. Debe monitorearse el estado hemodinámico del paciente y ante la apa…",Blokium_Cort__Instruccion-Blokium-Cort-para-Web
Blokium_Cox__Instruccion-Blokium-Cox-editable#0400,¿Etoricoxib puede incrementar el riesgo de reacciones adversas asociadas a la terapia de reemplazo hormonal?,"adversos asociados con los anticonceptivos orales (por ejemplo, eventos tromboembólicos venosos en mujeres de riesgo). • Terapia de reemplazo hormonal: la administración de etoricoxib 120 mg con terapia de reemplazo hormonal basada en estró…",Blokium_Cox__Instruccion-Blokium-Cox-editable
Blokium_Gesic_Forte__Instruccion-Blokium-Gesic-Forte-web#0450,¿Qué es el diclofenac en su forma farmacéutica?,"ACCIÓN TERAPÉUTICA:  Antiinflamatorio,  analgésico  y  antipirético  no  esteroide. Tratamiento sintomático de la dismenorrea primaria. Cód. ATC: M01AB55  inflamatorios  ginecológicos  (por  ejemplo:",Blokium_Gesic_Forte__Instruccion-Blokium-Gesic-Forte-web
Blokium_P__MKG-Instruccion-Blokium-P#0500,¿Cuál es el medicamento que se debe emplear con precaución en pacientes con función renal disminuida?,"Advertencias:  como    sucede    con  otros  AINES    en  cualquier    momento    del tratamiento  puede  producirse  una  hemorragia  gastrointestinal  o  una  perforación ulcerosa,  con  o  sin  síntomas  o  antecedentes  previos. Esto  e…",Blokium_P__MKG-Instruccion-Blokium-P
Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web#0550,¿El ácido bempedoico inhibe débilmente a OAT2 in vitro?,"glucurónido, no son sustratos de los transportadores de fármacos comúnmente caracterizados, con la excepción del glucurónido de ácido bempedoico, que es un sustrato de OAT3. El ácido bempedoico inhibe débilmente OAT3 en múltiplos altos de c…",Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0600,¿Qué porcentaje de pacientes tratados con levetiracetam experimentó irritabilidad en un ensayo controlado doble ciego?,"convulsiones generalizadas primarias, pero sin diferencias entre los grupos tratados con placebo y con levetiracetam y sin discontinuaciones considerables. Aunque se puede esperar que los eventos relacionados con la droga observados en paci…",Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable
Cardiplen_2_5_5_y_10_mg__D7143-E-6804-01-INST.-CARDIPLEN-COMPLETO-UHLMANN-250x150-mm-web#0650,¿Se ha demostrado la eficacia y seguridad del bisoprolol en niños?,"el embarazo si resulta estrictamente necesario y si los beneficios para la madre superan a los riesgos posibles para la madre y el producto de la concepción. En caso de decidirse su administración, se debe monitorear el crecimiento fetal y …",Cardiplen_2_5_5_y_10_mg__D7143-E-6804-01-INST.-CARDIPLEN-COMPLETO-UHLMANN-250x150-mm-web
Carrier__D1346-E-0497-04-Instruccion-Carrier#0700,¿Es contraindicado el medicamento para personas con alteración severa de la función renal?,"Contraindicaciones:  hipersensibilidad al principio activo o a cualquiera de los componentes de la  fórmula,  estados  confusionales  graves,  alteración  severa  de  la  función  renal  o  hepática, embarazo y lactancia.",Carrier__D1346-E-0497-04-Instruccion-Carrier
Corticas_Crema__D2347-E-1917-01-Instrucci_n-Corticas-Crema-1#0750,¿La oclusión durante un período de 96 horas aumenta significativamente la penetración de hidrocortisona?,"Farmacocinética:  la  absorción  percutánea  de  los  corticoides  tópicos  está  determinada  por muchos  factores,  incluyendo  el  vehículo  y  la  integridad  de  la  barrera  epidérmica. El  vendaje oclusivo con hidrocortisona durante …",Corticas_Crema__D2347-E-1917-01-Instrucci_n-Corticas-Crema-1
Crada__Instruccion-Crada-Web-1#0800,¿Cuál es la vida media en plasma del calcitriol?,ACCIÓN FARMACOLÓGICA:  La vitamina D favorece la absorción y utilización del calcio y fosfato para la calcificación normal del hueso. La exposición de la piel a los rayos ultravioleta de la luz del sol da lugar a la formación de colecalcife…,Crada__Instruccion-Crada-Web-1
Dercolina_Infantil__D2608-E-2286-01-Instrucci_n-Dercolina-Infantil#0850,¿El cloruro de benzalconio puede causar rinitis en pacientes asmáticos?,"Reacciones  Adversas:  reacciones  de  hipersensibilidad  a  salicilato. Riesgo  de  irritación  en  razón  de  la presencia de alcohol. El cloruro de benzalconio, utilizado como preservativo en gotas nasales o en soluciones para nebulizar …",Dercolina_Infantil__D2608-E-2286-01-Instrucci_n-Dercolina-Infantil
Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1#0900,¿Cuál es el efecto adverso más grave que puede ocurrir si se interrumpe el tratamiento con DILCORAN D?,"medir de tanto en tanto la cantidad de potasio o de otros minerales en la sangre, especialmente si tiene más de 65 años, si tiene alguna enfermedad cardíaca, hepática o renal, o si toma suplementos de potasio. El médico lo aconsejará al res…",Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1
Dilcoran_Plus__D2648-E-2326-01-Instruccion-Dilcoran-Plus#0950,¿El valsartán puede causar lesión y muerte del feto en desarrollo durante el segundo y tercer trimestre de embarazo?,"magnesio y simeticona, cimetidina, antiinflamatorios no esteroideos, antibióticos e hipoglucemiantes orales. Valsartán Durante la administración de valsartán no se han hallado interacciones farmacológicas de interés clínico con ninguno de e…",Dilcoran_Plus__D2648-E-2326-01-Instruccion-Dilcoran-Plus
Elant__D3071-E-2744-01-Instruccion-Elant#1000,¿Puede tomar ELANT si padece diabetes tipo 1?,Presentación:  envases con 30 comprimidos recubiertos. Fecha de última revisión: noviembre 2016. Forma de conservación - Conservar en lugar seco a temperatura inferior a 30°C. - Mantener alejado del alcance de los niños. Dirección Técnica: …,Elant__D3071-E-2744-01-Instruccion-Elant
Enabran_gotas__D1341-Instrucci_n-Enabran-1-gotas#1050,¿A qué síntomas pueden ocurrir a dosis relativamente bajas del haloperidol?,"Efectos  adversos:  efecto  sobre  el  SNC:  síntomas  extrapiramidales:  se  pueden  observar frecuentemente síntomas de  tipo  parkinsoniano  a los  pocos  días  de  comenzar el tratamiento con haloperidol, entre ellos acatisia o distonia…",Enabran_gotas__D1341-Instrucci_n-Enabran-1-gotas
Epistal__D1978-E-1691-02-Instrucci_n-Epistal-1#1100,¿Cuál es la dosis diaria total recomendada de topiramato para adultos como tratamiento complementario?,Dosis Vespertina:  Semana 1  Semana 2  Semana 3  Semana 4  Semana 5  Semana 6  25 mg  50 mg  75 mg  100 mg  150 mg  200 mg  25 mg  50 mg  75 mg  100 mg  150 mg  200 mg  Terapia Adjunta -Adultos (17 años o mayores): la dosis diaria total rec…,Epistal__D1978-E-1691-02-Instrucci_n-Epistal-1
Ernex_Rosa__D0680-E-0305-03-Instrucci_n-Ernex-Rosa-Polvo#1150,¿A qué temperatura se deben conservar los envases del medicamento?,"Presentación:  envases con 10 y 20 sobres. 1  Fecha de última revisión: julio de 2007  Forma de conservación - Conservar en lugar fresco y seco, preferentemente entre 15 y 30°C. - Mantener alejado del alcance de los niños. Dirección Técnica…",Ernex_Rosa__D0680-E-0305-03-Instrucci_n-Ernex-Rosa-Polvo
FILTEN-D-G00081104-05#1200,¿Cuál es el efecto adverso más frecuente en pacientes que toman este medicamento?,"pies fríos), aumento de los síntomas en pacientes con claudicación intermitente (aumento del dolor en las piernas al caminar) o fenómeno de Raynaud (disminución de la sangre en los dedos de las manos y de los pies, las orejas y la nariz). T…",FILTEN-D-G00081104-05
Factor_AG__D0328-E-0291-04-Instrucci_n-Factor-AG-200-1-1#1250,¿Cuál es la forma farmacéutica recomendada para niños menores de 12 años?,"Posología - Modo de Administración:  Adultos y niños mayores de 12 años: 1 comprimido 2 a 3 veces por día. Niños, entre  6  y 12 años: 1 comprimido 2  veces por día. Para niños menores de 12 años se recomienda utilizar la forma farmacéutica…",Factor_AG__D0328-E-0291-04-Instrucci_n-Factor-AG-200-1-1
