chunk_id,question,answer
03-Prospecto-Gadopril#0000,¿Qué dosis de GADOPRIL® se encuentran disponibles en el mercado?,"2,5- 5-10-20"
03-Prospecto-Gadopril#0050,¿Cuándo se invita a los profesionales sanitarios a notificar las sospechas de reacciones adversas al medicamento?,tras su autorización
Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1#0150,¿Qué gérmenes son sensibles al medicamento AMOCLAV DUO?,"Haemophilus influenzae, Moraxela (Branhamella) catarrhalis, Staphilococcus aureus, Escherichia coli, Klebsiella spp., Enterobacter spp."
Ampliar_40__D1896-E-1603-01-Instruccion-Ampliar-40#0200,¿Es contraindicado el medicamento para mujeres en edad fértil que no utilizan un método anticonceptivo adecuado?,Sí
Antimicon__E-1423-02-Instruccion-Antimicon#0300,¿A qué temperatura se deben conservar los comprimidos de Flucanazol?,Desde 15°C hasta 30°C
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0350,¿Cuál es el tratamiento recomendado para la hipoprotrombinemia en pacientes que han ingerido diclofenac?,La suplementación de vitamina K.
Blokium_Cox__Instruccion-Blokium-Cox-editable#0400,¿Etoricoxib puede incrementar el riesgo de reacciones adversas asociadas a la terapia de reemplazo hormonal?,"Sí, puede incrementar el riesgo de reacciones adversas asociadas a la terapia de reemplazo hormonal debido al aumento en la exposición a estrógenos."
Blokium_Gesic_Forte__Instruccion-Blokium-Gesic-Forte-web#0450,¿Qué es el diclofenac en su forma farmacéutica?,"Antiinflamatorio, analgésico y antipirético no esteroide."
Blokium_P__MKG-Instruccion-Blokium-P#0500,¿Cuál es el medicamento que se debe emplear con precaución en pacientes con función renal disminuida?,BLOKIUM P (diclofenac potásico)
Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web#0550,¿El ácido bempedoico inhibe débilmente a OAT2 in vitro?,"Sí, el ácido bempedoico inhibe débilmente a OAT2 in vitro."
Callexe_Inyectable__Instruccion-Callexe-Inyectable-editable#0600,¿Qué porcentaje de pacientes tratados con levetiracetam experimentó irritabilidad en un ensayo controlado doble ciego?,6.3%
Cardiplen_2_5_5_y_10_mg__D7143-E-6804-01-INST.-CARDIPLEN-COMPLETO-UHLMANN-250x150-mm-web#0650,¿Se ha demostrado la eficacia y seguridad del bisoprolol en niños?,No se ha demostrado la eficacia y seguridad del bisoprolol en niños
Carrier__D1346-E-0497-04-Instruccion-Carrier#0700,¿Es contraindicado el medicamento para personas con alteración severa de la función renal?,Sí
Corticas_Crema__D2347-E-1917-01-Instrucci_n-Corticas-Crema-1#0750,¿La oclusión durante un período de 96 horas aumenta significativamente la penetración de hidrocortisona?,Sí
Crada__Instruccion-Crada-Web-1#0800,¿Cuál es la vida media en plasma del calcitriol?,3 a 8 horas
Dercolina_Infantil__D2608-E-2286-01-Instrucci_n-Dercolina-Infantil#0850,¿El cloruro de benzalconio puede causar rinitis en pacientes asmáticos?,"Sí, el cloruro de benzalconio se ha relacionado excepcionalmente con la aparición de rinitis en pacientes asmáticos."
Dilcoran_D__D2639-E-2317-01-Instrucci_n-Dilcoran-D-1#0900,¿Cuál es el efecto adverso más grave que puede ocurrir si se interrumpe el tratamiento con DILCORAN D?,Angioedema
Dilcoran_Plus__D2648-E-2326-01-Instruccion-Dilcoran-Plus#0950,¿El valsartán puede causar lesión y muerte del feto en desarrollo durante el segundo y tercer trimestre de embarazo?,"Sí, durante el segundo y tercer trimestre de embarazo."
Elant__D3071-E-2744-01-Instruccion-Elant#1000,¿Puede tomar ELANT si padece diabetes tipo 1?,"No, si padece diabetes tipo 1."
Enabran_gotas__D1341-Instrucci_n-Enabran-1-gotas#1050,¿A qué síntomas pueden ocurrir a dosis relativamente bajas del haloperidol?,Síntomas de tipo parkinsoniano
