chunk_id,question,answer,n_sentences,sentences,sentences_join
03-Prospecto-Gadopril#0000,¿Qué dosis de GADOPRIL® se encuentran disponibles en el mercado?,"2,5- 5-10-20",2,"['Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg', 'Cada comprimido ranurado de GADOPRIL® 5 contiene: Enalapril maleato ......................................................................................5,00 mg']","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg || Cada comprimido ranurado de GADOPRIL® 5 contiene: Enalapril maleato ......................................................................................5,00 mg"
03-Prospecto-Gadopril#0050,¿Cuándo se invita a los profesionales sanitarios a notificar las sospechas de reacciones adversas al medicamento?,tras su autorización,3,"['Es importante notificar la sospecha de reacciones adversas al medicamento tras su autorización.', 'Ello permite una supervisión continuada de la relación beneficio/riesgo del medicamento.', 'Se invita a los profesionales sanitarios a notificar las sospechas de reacciones adversas a través del Sistema Nacional de Farmacovigilancia al siguiente link: https://primaryreporting.who-umc.org/AR y/o al Departamento de Farmacovigilancia de GADOR S.A. vía email a farmacovigilancia@gador.com o telefónicamente al 0800-2202273.']",Es importante notificar la sospecha de reacciones adversas al medicamento tras su autorización. || Ello permite una supervisión continuada de la relación beneficio/riesgo del medicamento. || Se invita a los profesionales sanitarios a notificar las sospechas de reacciones adversas a través del Sistema Nacional de Farmacovigilancia al siguiente link: https://primaryreporting.who-umc.org/AR y/o al Departamento de Farmacovigilancia de GADOR S.A. vía email a farmacovigilancia@gador.com o telefónicamente al 0800-2202273.
Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1#0150,¿Qué gérmenes son sensibles al medicamento AMOCLAV DUO?,"Haemophilus influenzae, Moraxela (Branhamella) catarrhalis, Staphilococcus aureus, Escherichia coli, Klebsiella spp., Enterobacter spp.",6,"['AMOCLAV® DUO está indicado en el tratamiento de infecciones causadas por cepas sensibles de los gérmenes abajo descriptos para las siguientes patologías:', '-  Infecciones del tracto respiratorio inferior: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella) catarrhalis.', '-  Otitis media: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella)catarrhalis.', '- Sinusitis: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella) catarrhalis.', '-  Infecciones dermatológicas: causadas por cepas productoras de ß-lactamasas de Staphilococcus aureus, Escherichia coli y    Klebsiella spp.', '-  Infecciones del tracto urinario: causadas por cepas productoras de ß-lactamasas de Escherichia coli, Enterobacter spp. y Klebsiella spp.']","AMOCLAV® DUO está indicado en el tratamiento de infecciones causadas por cepas sensibles de los gérmenes abajo descriptos para las siguientes patologías: || -  Infecciones del tracto respiratorio inferior: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella) catarrhalis. || -  Otitis media: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella)catarrhalis. || - Sinusitis: causadas por cepas productoras de ß-lactamasas de Haemophilus influenzae y Moraxela (Branhamella) catarrhalis. || -  Infecciones dermatológicas: causadas por cepas productoras de ß-lactamasas de Staphilococcus aureus, Escherichia coli y    Klebsiella spp. || -  Infecciones del tracto urinario: causadas por cepas productoras de ß-lactamasas de Escherichia coli, Enterobacter spp. y Klebsiella spp."
Ampliar_40__D1896-E-1603-01-Instruccion-Ampliar-40#0200,¿Es contraindicado el medicamento para mujeres en edad fértil que no utilizan un método anticonceptivo adecuado?,Sí,2,"['Las mujeres en edad fértil que reciban tratamiento con AMPLIAR deben utilizar un método anticonceptivo adecuado.', 'Atorvastatin está contraindicado durante el embarazo y la lactancia.']",Las mujeres en edad fértil que reciban tratamiento con AMPLIAR deben utilizar un método anticonceptivo adecuado. || Atorvastatin está contraindicado durante el embarazo y la lactancia.
Antimicon__E-1423-02-Instruccion-Antimicon#0300,¿A qué temperatura se deben conservar los comprimidos de Flucanazol?,Desde 15°C hasta 30°C,1,"['Conservar a temperatura ambiente desde 15°C hasta 30°C, al abrigo de la humedad.']","Conservar a temperatura ambiente desde 15°C hasta 30°C, al abrigo de la humedad."
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0350,¿Cuál es el tratamiento recomendado para la hipoprotrombinemia en pacientes que han ingerido diclofenac?,La suplementación de vitamina K.,2,"['Debe considerarse la aparición probable de hemorragia o ulceración gastrointestinal y está indicada la suplementación de vitamina K para el tratamiento de la hipoprotrombinemia.', 'Ante la eventualidad de una sobredosificación concurrir al hospital más cercano o comunicarse con los Centros de Toxicología: Hospital de Pediatría Ricardo Gutiérrez: (011) 4962-6666/2247 / 0800-444-8694. Hospital A. Posadas: (011) 4654-6648/4658-7777 / 0800-333-0160. Centro de Asistencia Toxicológica La Plata: (0221) 451-5555.']",Debe considerarse la aparición probable de hemorragia o ulceración gastrointestinal y está indicada la suplementación de vitamina K para el tratamiento de la hipoprotrombinemia. || Ante la eventualidad de una sobredosificación concurrir al hospital más cercano o comunicarse con los Centros de Toxicología: Hospital de Pediatría Ricardo Gutiérrez: (011) 4962-6666/2247 / 0800-444-8694. Hospital A. Posadas: (011) 4654-6648/4658-7777 / 0800-333-0160. Centro de Asistencia Toxicológica La Plata: (0221) 451-5555.
Blokium_Cox__Instruccion-Blokium-Cox-editable#0400,¿Etoricoxib puede incrementar el riesgo de reacciones adversas asociadas a la terapia de reemplazo hormonal?,"Sí, puede incrementar el riesgo de reacciones adversas asociadas a la terapia de reemplazo hormonal debido al aumento en la exposición a estrógenos.",4,"['La administración de etoricoxib 120 mg con terapia de reemplazo hormonal basada en estrógenos conjugados durante 28 días, incrementó el estado de equilibrio medio del ABC 0-24 hs de la estrona (41 %), equilina (76 %), y el 17-β-estradiol (22 %) no conjugados.', 'El efecto de etoricoxib 120 mg en la exposición (ABC  0-24  hs) a los componentes estrogénicos, fue menor a la mitad del observado cuando los estrógenos conjugados fueron administrados solos y la dosis se incrementó de 0,625 a 1,25 mg.', 'La relevancia clínica de estos incrementos es desconocida, y no fueron estudiadas dosis más elevadas de estrógenos conjugados en combinación con etoricoxib.', 'Estos incrementos en las concentraciones estrogénicas deben considerarse al seleccionar la terapia de reemplazo hormonal post-menopáusica a utilizar con etoricoxib, ya que el incremento a la exposición ante estrógenos puede también incrementar el riesgo de reacciones adversas asociadas a la terapia de reemplazo hormonal.']","La administración de etoricoxib 120 mg con terapia de reemplazo hormonal basada en estrógenos conjugados durante 28 días, incrementó el estado de equilibrio medio del ABC 0-24 hs de la estrona (41 %), equilina (76 %), y el 17-β-estradiol (22 %) no conjugados. || El efecto de etoricoxib 120 mg en la exposición (ABC  0-24  hs) a los componentes estrogénicos, fue menor a la mitad del observado cuando los estrógenos conjugados fueron administrados solos y la dosis se incrementó de 0,625 a 1,25 mg. || La relevancia clínica de estos incrementos es desconocida, y no fueron estudiadas dosis más elevadas de estrógenos conjugados en combinación con etoricoxib. || Estos incrementos en las concentraciones estrogénicas deben considerarse al seleccionar la terapia de reemplazo hormonal post-menopáusica a utilizar con etoricoxib, ya que el incremento a la exposición ante estrógenos puede también incrementar el riesgo de reacciones adversas asociadas a la terapia de reemplazo hormonal."
Blokium_Gesic_Forte__Instruccion-Blokium-Gesic-Forte-web#0450,¿Qué es el diclofenac en su forma farmacéutica?,"Antiinflamatorio, analgésico y antipirético no esteroide.",1,"['BLOKIUM GESIC FORTE contiene diclofenac potásico, un principio activo no esteroide dotado de propiedades analgésicas, antiinflamatorias y antipiréticas,']","BLOKIUM GESIC FORTE contiene diclofenac potásico, un principio activo no esteroide dotado de propiedades analgésicas, antiinflamatorias y antipiréticas,"
Blokium_P__MKG-Instruccion-Blokium-P#0500,¿Cuál es el medicamento que se debe emplear con precaución en pacientes con función renal disminuida?,BLOKIUM P (diclofenac potásico),1,"['BLOKIUM P (diclofenac potásico) debe emplearse con precaución en pacientes con función renal, cardíaca o hepática disminuida,']","BLOKIUM P (diclofenac potásico) debe emplearse con precaución en pacientes con función renal, cardíaca o hepática disminuida,"
Brimepil_Ez__D8223-E-7880-01-INST.-BRIMEPIL-EZ-180-10-COMPL.-BOY-600x200-web#0550,¿El ácido bempedoico inhibe débilmente a OAT2 in vitro?,"Sí, el ácido bempedoico inhibe débilmente a OAT2 in vitro.",1,"['El ácido bempedoico inhibe débilmente la OAT2 in vitro, que probablemente sea el mecanismo responsable de elevaciones menores en la creatinina sérica y el ácido úrico.']","El ácido bempedoico inhibe débilmente la OAT2 in vitro, que probablemente sea el mecanismo responsable de elevaciones menores en la creatinina sérica y el ácido úrico."
