chunk_id,question
Amoclav_Duo_Suspensi_n__D0290-E-0854-05-Instruccion-Amoclav-Duo-Suspension-1#0150,¿Qué gérmenes son sensibles al medicamento AMOCLAV DUO?
Blokium_Cort__Instruccion-Blokium-Cort-para-Web#0350,¿Cuál es el tratamiento recomendado para la hipoprotrombinemia en pacientes que han ingerido diclofenac?
Blokium_P__MKG-Instruccion-Blokium-P#0500,¿Cuál es el medicamento que se debe emplear con precaución en pacientes con función renal disminuida?
Cardiplen_2_5_5_y_10_mg__D7143-E-6804-01-INST.-CARDIPLEN-COMPLETO-UHLMANN-250x150-mm-web#0650,¿Qué se sabe sobre el uso del bisoprolol en niños?
Carrier__D1346-E-0497-04-Instruccion-Carrier#0700,¿Es contraindicado el medicamento para personas con alteración severa de la función renal?
Corticas_Crema__D2347-E-1917-01-Instrucci_n-Corticas-Crema-1#0750,¿La oclusión durante un período de 96 horas aumenta significativamente la penetración de hidrocortisona?
Crada__Instruccion-Crada-Web-1#0800,¿Cuál es la vida media en plasma del calcitriol?
Dercolina_Infantil__D2608-E-2286-01-Instrucci_n-Dercolina-Infantil#0850,¿El cloruro de benzalconio puede causar rinitis en pacientes asmáticos?
G00072104-08-ALPLAX_XR_web#1300,¿Qué pacientes deben evitar ALPLAX XR debido a los excipientes?
G00072203-01-april-web#1350,¿Qué nombre genérico se usa para el medicamento APRIL?
G00073204-10-alplax-net-web#1550,¿El alprazolam actúa potenciando la actividad inhibitoria del Gaba?
G00073301-06-ProspectoWebAminomux#1600,¿A qué temperatura ambiente inferior a 25°C debe conservarse el medicamento AMINOMUX?
G00074704-02-Cortipyren_B_web#1700,¿Qué cantidad de povidona contiene cada CORTIPYREN B 4?
G00075106-08-filten-web#1750,"¿Qué sustancia contiene cada comprimido de FILTEN 3,125?"
G00076301-16-Gammatet_T-web#1900,¿Cuál es el volumen del principio activo en la dosis de 75 UI*?
G00076604-04-elafax-web#1950,¿Qué medicamentos incluye la cápsula de gelatina?
G00076803-05-elafax-web#2100,¿Cuáles son los posibles efectos secundarios de la venlafaxina?
G00077101-11-INSOMNIUM#2150,¿Cuál es el tratamiento recomendado para una sobredosis de zopiclona?
G00078104-18-novacef-web#2250,¿Cuál es la dosis recomendada en adultos para el medicamento NOVACEF®?
G00078202-09-Lercadip_web#2300,¿Cuánto pesa el almidón en cada LERCADIP?
G00078705-13-paxon-d-web#2350,¿Cuál es el peso del principio activo Losartán potásico en cada comprimido recubierto de PAXON D?
G00078705-13-paxon-d-web#2400,"¿Cuál es el peso del principio activo Losartán Potásico en cada comprimido recubierto de PAXON® D 100/12,5?"
G00081202-17-ProspectoWebRisperin#2700,¿Cuál es la dosis inicial recomendada para adultos sanos tratados con risperidona?
G00081407-13-sinlip-web#2750,¿Qué fármaco requiere precaución en personas con riesgo de miopatía?
G00082701-12-ProspectoWebTridestanN#2900,¿Qué precauciones deben tener en cuenta al tomar TRIDESTAN?
G00089303-02-prografxl-web#3050,¿El tacrolimus se excreta en la leche materna humana?
G00100201-00-ProspectoWebTonibral#3200,¿Inhibe la memantina la flavina monooxigenasa en ensayos de laboratorio?
G00101203-00-HipoglutMetWeb#3250,¿Puede la Glimepirida oral aumentar riesgos en embarazadas?
G00105201-02-ProspectoWebRisperinSolOral#3300,¿Cuál es el volumen de distribución de la Risperidona?
G00121601-02-Desensyl-Max-web#3600,¿Qué principio activo contiene el medicamento CREMA DENTAL DESENSIBILIZANTE DE RAPIDA ACCIÓN?
G00127802-03-Deslafax-web#3650,¿Qué fármaco causa hipotensión ortostática en mayores de 65?
G00146101-02-Squam-Doble-Fluor-web#3750,¿Qué tipo de producto contiene SQUAM Doble Flúor?
G00152103-05-Stribild_web#3850,¿Cuántas veces al día se debe tomar naloxona según el prospecto?
G00157803-05-dimeful-web#3950,¿Qué frecuencia tiene la rubefacción en pacientes de dimetilfumarato?
G00159600-03-PYXIS#4150,¿Cómo debe ajustarse la dosis de perampanel en pacientes ancianos?
G00159600-03-PYXIS#4200,¿Qué instrucciones de administración incluye el prospecto para perampanel?
G00159600-03-PYXIS#4250,¿Qué efecto tiene el perampanel sobre el citocromo P450?
G00159600-03-PYXIS#4300,Puede el perampanel afectar a los anticonceptivos con progesterona?
G00166101-00-Tonibral-XR#4450,¿Qué principio activo incluye cada cápsula de TONIBRAL XR 21?
G00166101-00-Tonibral-XR#4500,¿Cuál es la reacción adversa más común que llevó a la discontinuación del tratamiento con memantina de liberación prolongada?
G00166101-00-Tonibral-XR#4550,¿Cuál es la vida media de eliminación terminal de la memantina?
G00166101-00-Tonibral-XR#4600,¿Se observaron cambios clínicamente importantes en los exámenes de laboratorio asociados al tratamiento con memantina?
G00171106_03-web-luradon#4800,¿Cuál es el peso en miligramos del principio activo Lurasidona clorhidrato en cada comprimido recubierto de LURADON® 120?
G00178002-03-POMALID_web#4900,¿Cuánto pesa cada cápsula de POMALID® 3?
G00178002-03-POMALID_web#4950,¿Cuánto pesa la pomalidomida en cada cápsula de POMALID??
G00179604-04-harvoni-web#5000,¿Cuál es la duración recomendada del tratamiento para HARVONI en pacientes adultos y adolescentes con HCC de genotipo 1?
G00179604-04-harvoni-web#5050,¿Cuál es el porcentaje de pacientes que lograron una mejoría o ausencia de cambios en las puntuaciones MELD después del tratamiento con ledipasvir/sofosbuvir?
G00181002-02-PAXON_XR_web#5100,¿Cuál es el tratamiento recomendado en caso de hipotensión sintomática por sobredosificación del Losartán?
G00186800-00-ProspectoWebOmnipil#5200,¿Cuál es el grado de absorción del fármaco ramipril tras su administración oral?
G00189102-02-sinlip-prevent-web#5250,¿Cuál es el código ATC del medicamento mencionado en el fragmento?
G00190003-03-ivacarG-web#5300,¿Cuál es el peso del principio activo Ivacaftor en cada sobre de granulado para administración oral?
G00190003-03-ivacarG-web#5350,¿Qué compuesto está presente en cada comprimido de Ivacaftor?
G00198902-02-duxetin-web#5500,¿Cuál fue el porcentaje aproximado de pacientes que recibieron DUXETIN® que discontinuaron el tratamiento debido a una reacción adversa en ensayos para Trastorno depresivo mayor?
G00202202-02-descovy-web-1#5550,¿Cuál fue el porcentaje de pacientes que tenían ARN del VIH-1 en plasma <20 copias/ml después de recibir darunavir/cobicistat/emtricitabina/tenofovir alafenamida?
G00207700-00-Divalprex_ER-web#5650,¿Qué peso tiene el Divalproato en cada DIVALPREX® ER 500?
G00207700-00-Divalprex_ER-web#5700,¿Cuál es el efecto del Valproato sobre el clearance de la Zidovudina en pacientes HIV-seropositivos?
G00208702-03-arkus-web#5750,¿Cuál es el porcentaje de pacientes tratados con cabozantinib que requirieron dos reducciones de dosis?
G00208702-03-arkus-web#5800,¿Qué peso tienen los componentes del medicamento Aquarius?
G00212801-01-ProspectoWebAturen#5950,¿Cuál es el principio activo principal en ATUREN 500?
G00213501-01-web#6000,¿Qué peso de Ivacaftor hay en cada comprimido celeste?
G00219101-01-ProspectoWebReliveranDoxi#6200,¿Es Reliveran Doxi contraindicado en personas con hipersensibilidad conocida al succinato de doxilamina?
G00224203-05-trixacar-web#6350,¿Qué porcentaje de pacientes abandonó elexacaftor/tezacaftor/ivacaftor debido a efectos secundarios?
G00226200-00-Ambisome-SD-Prospecto-web#6400,¿Cuál es la frecuencia de la hipopotasemia como reacción adversa a AMBISOME?
G00226800-00-Toblaptin_web#6450,¿Influencia el tolvaptán en la interacción con otros fármacos?
