chunk_id,question,context_preview,doc_id
03-Prospecto-Gadopril#0000,¿Qué forma de comprimidos tiene el medicamento GADOPRIL?,"PROYECTO DE PROSPECTO MÉDICO  GADOPRIL® 2,5- 5-10-20  ENALAPRIL MALEATO 2,5-5-10-20 mg  Comprimidos ranurados  Venta bajo receta  Industria Argentina",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0001,¿Cuánto bicarbonato de sodio contiene cada comprimido ranurado de GADOPRIL?,"Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg  Excipientes: Bicarbonato de sodio .........................................…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0002,"¿Cuál es la cantidad de lactosa monohidrato en cada comprimido ranurado de GADOPRIL® 2,5?","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ..........................................…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0003,¿Cuánto mg de lactosa monohidrato contiene cada comprimido ranurado de GADOPRIL?,"Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ..........................................…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0005,"¿Cuál es el peso de lactosa monohidrato en cada comprimido ranurado de GADOPRIL® 2,5?","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ..........................................…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0006,"¿Cuánto mg de lactosa monohidrato contiene cada comprimido ranurado de GADOPRIL® 2,5?","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ..........................................…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0007,¿Cuál es el contenido de enalapril maleato en cada comprimido ranurado de GADOPRIL 10?,"comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0008,¿Cuál es la cantidad de povidona CL en cada comprimido ranurado de GADOPRIL?,"mg. Povidona CL ............................................................................................2,7 mg Dióxido de silicio coloidal ........................................................................ 1,120 mg Talco .........…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0009,¿Cuál es la cantidad de dióxido de silicio coloidal en cada comprimido ranurado de GADOPRIL?,"Dióxido de silicio coloidal ........................................................................ 1,120 mg Talco ......................................................................................................1,8 mg Cellactosa ....…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0010,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL® 20?,"Celulosa microcristalina ............................................................................13,5 mg Almidón pregelatinizado ............................................................................4,50 mg Estearato de magnesio .…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0011,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL?,"....................................................................................10,00 mg Excipientes: El presente documento electrónico ha sido firmado digitalmente en los términos de la Ley N° 25.506, el Decreto N° 2628/2002 y el Decre…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0012,¿Cuál es el contenido de enalapril maleato en cada comprimido ranurado de GADOPRIL?,"documento electrónico ha sido firmado digitalmente en los términos de la Ley N° 25.506, el Decreto N° 2628/2002 y el Decreto N° 283/2003.- Página 1 de 34 Ácido maleico ........................................................................…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0013,¿Cuál es el código ATC de los inhibidores de la enzima de conversión de angiotensina?,Grupo farmacoterapéutico: Inhibidores de la enzima de conversión de angiotensina. Antihipertensivo. Vasodilatador  Código ATC: C09A A02,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0014,¿Qué efecto tiene Gadopril en la secreción de aldosterona?,Tratamiento de la hipertensión arterial. Tratamiento de la insuficiencia cardiaca sintomática. Prevención de la insuficiencia cardiaca sintomática en pacientes con disfunción ventricular  izquierda asintomática (fracción de eyección ≤ 35%).…,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0015,¿Cuántas horas tarda en alcanzar concentraciones máximas el enalaprilato después de una dosis oral de enalapril?,"Enalapril  administrado  por  vía  oral  se  absorbe  rápidamente  y  alcanza  concentraciones  séricas máximas en el término de una hora. Basándose en su recuperación en la orina, la  fracción de enalapril que se absorbe del comprimido de …",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0016,¿Cuál es la porción de enalaprilato unida a proteínas plasmáticas humanas?,"En  el  intervalo  de  concentraciones  que  son  terapéuticamente  apropiadas,  la  unión  de  enalaprilato a proteínas plasmáticas humanas no supera el 60 %. Metabolismo o Biotransformación  Excepto por la conversión en enalaprilato, no h…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0017,¿Cuál es el aumento aproximado en la exposición de enalapril y enalaprilato en pacientes con insuficiencia renal grave?,"El presente documento electrónico ha sido firmado digitalmente en los términos de la Ley N° 25.506, el Decreto N° 2628/2002 y el Decreto N° 283/2003.-  Página 3 de 34  La  excreción  de  enalaprilato  es  principalmente  renal. Los  compone…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0018,¿Cuál es la concentración máxima media de enalaprilato en leche materna después de una dosis única de 20 mg?,"Después  de  una  dosis  oral  única  de  20  mg  en  cinco  mujeres  después  del  parto,  la  concentración máxima media de enalapril en la leche fue de 1,7 μg/l (intervalo de 0,54 a 5,9  μg/l) a las 4-6 horas después de la dosis. La conc…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0019,¿Cuántas horas después de la administración de una dosis individual de enalapril ocurre la actividad antihipertensiva?,"actividad de la ECA suele ocurrir 2 a 4 horas después de la administración de una dosis individual de enalapril por vía oral. Generalmente, la actividad antihipertensiva se inició al cabo de una hora, y la disminución máxima de la presión a…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0020,¿Cuál estudio fue finalizado prematuramente debido a un aumento en el riesgo de resultados adversos?,cardiaca) disminuyó. También descendió la presión capilar pulmonar en cuña. Mejoraron la tolerancia al esfuerzo y la intensidad de la insuficiencia cardiaca valorados según los criterios de la New York Heart Association. Todos esos efectos …,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0021,¿Cuál fue el resultado de la adición de aliskirén en pacientes con diabetes mellitus tipo 2?,diabética. ALTITUDE (Aliskiren Trial in Type 2 Diabetes Using Cardiovascular and Renal Disease Endpoints) fue un estudio diseñado para evaluar el beneficio de añadir aliskirén a una terapia estándar con un inhibidor de la enzima convertidor…,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0022,¿Cuál fue la reducción del riesgo de muerte en pacientes con insuficiencia cardiaca congestiva tratados con enalapril?,"de enalapril (20,6 %) (reducción del riesgo del 20 %; IC del 95 %; 9-30 %; p < 0,001). En un ensayo aleatorio, multicéntrico, doble ciego y controlado con placebo (ensayo SOLVD de tratamiento) se analizó una población con insuficiencia card…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0023,¿Cuál fue la reducción en el riesgo de infarto de miocardio con Gadopril?,"%, 18-34 %; p < 0,0001). En todo el estudio SOLVD, en pacientes con disfunción ventricular izquierda, Gadopril® redujo el riesgo de infarto de miocardio en un 23 % (IC del 95 %, 1134 %; p < 0,001) y redujo el riesgo de hospitalización por a…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0024,¿Cuál es la dosis máxima diaria recomendada de Gadopril® para pacientes adultos?,Los alimentos no afectan a la absorción de los comprimidos de Gadopril®. La dosis debe ser individualizada según el perfil del paciente y la respuesta de la presión  arterial. Y su administración es por vía oral. Población pediátrica  Hay  …,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0025,¿Cuántas semanas tarda en ajustarse la dosis de Gadopril?,"no se produce hipotensión sintomática después del inicio del tratamiento de la insuficiencia cardiaca con Gadopril®, o si aparece y se trata con éxito, debe aumentarse la dosis gradualmente hasta la dosis de mantenimiento habitual de 20 mg,…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0026,¿Cuál es la dosis máxima recomendada de Gadopril durante las semanas 3 y 4?,Días 4 a 7: 5 mg/día en dos tomas  Semana 2  10 mg/día en dosis única o en dos tomas  Semanas 3 y 4  20 mg/día en dosis única o en dos tomas  *Deben adoptarse precauciones especiales en los pacientes con insuficiencia renal o que estén toma…,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0028,¿Cuál es la dosis máxima diaria recomendada de Gadopril para pacientes pediátricos ≥ 50 kg?,"Función renal  mL/min  mg/día  Deterioro leve  ≤ 80 >30 mL/min  Deterioro moderado a severo  ≤ 30 >10 mL/min  5 - 10 mg  2,5 mg  Pacientes en diálisis  --  2,5 mg los días de diálisis  *El enalaprilato es dializable. Los días que no se haga…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0029,¿Qué pacientes deben evitar el uso concomitante de Gadopril®?,Hipersensibilidad conocida a los componentes de GADOPRIL® a alguno de los excipientes  incluidos. Pacientes con antecedentes de angioedema en relación a tratamientos con inhibidores de  la ECA  Pacientes con angioedema ideopático o heredita…,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0030,¿Cuál es el efecto que Gadopril puede ocasionar en pacientes con insuficiencia cardiaca y presión arterial normal o baja?,Hipotensión Arterial Sintomática  Se ha observado raramente hipotensión sintomática en pacientes con hipertensión arterial  no complicada y en tratamiento con enalapril. Esta hipotensión es más probable que ocurra  El presente documento ele…,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0031,¿Cuál es el síntoma que puede ocurrir en pacientes tratados con Gadopril®?,"renal. Puede darse cierta pérdida de función renal con pequeñas variaciones de la creatinina sérica. En estos pacientes, el tratamiento se iniciará bajo estricta vigilancia médica con dosis bajas, ajuste cuidadoso de la dosis y control de l…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0032,¿Cuál es el medicamento que está contraindicado debido al riesgo elevado de sufrir angioedema?,"casos en los que la hinchazón se limita sólo a la lengua, sin disnea, los pacientes pueden necesitar una observación prolongada ya que el tratamiento con antihistamínicos y corticoesteroides puede no ser suficiente. Muy raramente, se han co…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0033,¿Cuál es el efecto de los inhibidores de la ECA en pacientes con hipertensión?,"un IECA. Reacciones anafilactoides durante la desensibilización a himenópteros El presente documento electrónico ha sido firmado digitalmente en los términos de la Ley N° 25.506, el Decreto N° 2628/2002 y el Decreto N° 283/2003.- Página 11 …",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0034,¿Cuál medicamento puede causar hiperpotasemia en pacientes con insuficiencia renal?,"Tos  Se  ha  comunicado  la  aparición  de  tos  con  el  uso  de  inhibidores  de  la  ECA. La  tos  es  característicamente no productiva y persistente, y desaparece al suspender el tratamiento. La tos inducida por inhibidores de la ECA d…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0035,¿Cuál medicamento puede aumentar el riesgo de angioedema cuando se usa concomitante con Gadopril?,"Medicamentos que aumentan el riesgo de angioedema  El uso concomitante de IECA con sacubitril/valsartán está contraindicado, ya que aumenta  el riesgo de angioedema. El uso concomitante de IECA con racecadotril, inhibidores de mTOR (por eje…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0036,¿Cuál medicamento puede reducir el efecto antihipertensivo de los antagonistas del receptor de la angiotensina II o de los inhibidores de la ECA?,con frecuencia el potasio en sangre. Diuréticos (tiazida o diuréticos del asa) El tratamiento previo con dosis elevadas de diuréticos puede producir depleción de volumen y riesgo de hipotensión al iniciar el tratamiento con enalapril. Se pu…,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0037,¿Cuál es el efecto potencial del alcohol en los inhibidores de la ECA?,"un deterioro de la función renal. Estos efectos generalmente son reversibles. Raramente puede producirse insuficiencia renal aguda, especialmente en pacientes con función renal comprometida (como ancianos o pacientes que tienen depleción de…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0038,¿Cuándo debe interrumpirse el tratamiento con inhibidores de la ECA?,"Durante el embarazo, no debe iniciarse el tratamiento con inhibidores de la ECA. A menos  que  el  tratamiento  continuado  con  inhibidores  de  la  ECA  se  considere  esencial,  las  pacientes  que  planeen  un  embarazo  deben  cambiar …",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0039,¿Cuál es la población que no debe recibir Gadopril®?,"Enalapril y enalaprilato se excretan en mínimas cantidades en la leche materna, razón por  lo cual se recomienda precaución al administrarlos durante el amamantamiento. Pediatría  Existe de forma limitada, experiencia de seguridad y eficaci…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0040,¿Cuál es el efecto de enalapril sobre la presión arterial en pacientes de raza negra?,"No  se  conocen  evidencias  de  carcinogenicidad  en  tratamientos  prolongados  en  ratas  y  ratones,  con  dosis  150  a  300  veces  superiores  a  la  dosis  máxima  recomendada  en  los  humanos. Los  estudios  de  mutagenicidad  y  …",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0041,¿Qué efecto adverso puede causar enalapril en pacientes de alto riesgo?,"Las  siguientes  reacciones  adversas  se  han  notificado  para  enalapril  en  ensayos  clínicos y en la experiencia poscomercialización: El presente documento electrónico ha sido firmado digitalmente en los términos de la Ley N° 25.506, …",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0042,"¿Qué síntomas pueden incluir erupción, fotosensibilidad u otras manifestaciones cutáneas?","Trastornos hepatobiliares estreñimiento, anorexia, irritación gástrica, boca seca, úlcera péptica Insuficiencia hepática, hepatitis – hepatocelular o colestásica, hepatitis incluyendo necrosis, colestasis (incluyendo ictericia) Trastornos d…",03-Prospecto-Gadopril
03-Prospecto-Gadopril#0043,¿Cuál es el tratamiento recomendado para la sobredosificación de maleato de enalapril?,Es  importante  notificar  la  sospecha  de  reacciones  adversas  al  medicamento  tras  su  autorización. Ello  permite  una  supervisión  continuada  de  la  relación  beneficio/riesgo  del  medicamento. Se  invita  a  los  profesionales…,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0044,¿Cuál es el tratamiento indicado para bradicardia resistente al tratamiento?,de sodio). Se puede extraer el enalaprilato de la circulación general por hemodiálisis. En caso de bradicardia resistente al tratamiento está indicada la implantación de un marcapasos. Se realizará una vigilancia continua de las constantes …,03-Prospecto-Gadopril
03-Prospecto-Gadopril#0045,¿Qué es el certificado número de la especialidad medicinal autorizada?,"Manténgase a temperatura ambiente, en un lugar seco y protegido de la luz. MANTENER TODOS LOS MEDICAMENTOS FUERA DEL ALCANCE DE LOS NIÑOS  GADOR S.A. Darwin 429, C1414CUI, C.A.B.A., Argentina - Tel: 4858-9000  D.T.: Jorge N. Naquit, Farmacé…",03-Prospecto-Gadopril
E.DP_.Caps_.Gador_.v01_web#0046,¿Cuál es la cantidad de Vitamina E en cada cápsula blanda del medicamento DEKAs® PLUS?,DEKAs®  PLUS  Cápsulas Blandas  DEKAs®  PLUS  Cápsulas Blandas  DEKAs®  PLUS  Cápsulas Blandas  Recomendaciones de uso: La ingesta diaria será determinada exclusivamente por el médico. Advertencia: - No es adecuado como única fuente de alim…,E.DP_.Caps_.Gador_.v01_web
E.DP_.Caps_.Gador_.v01_web#0047,¿Cuál es la cantidad de Levadura de selenio en cada cápsula blanda?,"Fitonadiona) Ácido fólico Biotina Vitamina D (como Colecalciferol) Selenio (como Levadura de selenio) Vitamina B12 (como Cianocobalamina) Cantidad por cápsula blanda 5 Kcal = 20 Kj 0,5 g 0,4 g 10 mg 150 UI 75 mg 12 mg 18167 UI 10 mg 10 mg 1…",E.DP_.Caps_.Gador_.v01_web
EmoformTotalG00075702-09-web#0048,¿Qué es el etidronato disódico que se encuentra en Emo form Total?,"CREMA  DENTAL, ANTICARIES, ANTISARRO, DOBLE FLUOR  La crema dental más completa  Con: Etidronato disódico,       Bicarbonato de Sodio, Fluoruro de Sodio, Monofluorfosfato de Sodio y Xilitol. Emo form Total  previene la aparición de caries y…",EmoformTotalG00075702-09-web
EmoformTotalG00075702-09-web#0049,¿Cuál es la disposición ANMAT del producto de Higiene Oral de Uso Odontológico?,"filamentos del cepillo a 45° en la unión de dientes y encías, efectuando movimientos horizontales cortos y suaves Proceda de la misma forma para limpiar la superficie interna de los dientes Con el mango casi vertical, cepille hacia arriba y…",EmoformTotalG00075702-09-web
FILTEN-D-G00081104-05#0050,¿Cuál es el código ATC de FILTEN D?,"Venta bajo receta Industria Argentina  FILTEN®  D  CARVEDILOL 25 mg  HIDROCLOROTIAZIDA 12,5 mg Comprimidos  COMPOSICIÓN Cada comprimido de FILTEN® D contiene: Carvedilol ......................................................................…",FILTEN-D-G00081104-05
