chunk_id,question,answer,n_sentences,sentences,sentences_join
03-Prospecto-Gadopril#0000,¿Qué forma de comprimidos tiene el medicamento GADOPRIL?,Comprimidos ranurados,2,"['Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg', 'Cada comprimido ranurado de GADOPRIL® 5 contiene: Enalapril maleato ......................................................................................5,00 mg']","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg || Cada comprimido ranurado de GADOPRIL® 5 contiene: Enalapril maleato ......................................................................................5,00 mg"
03-Prospecto-Gadopril#0001,¿Cuánto bicarbonato de sodio contiene cada comprimido ranurado de GADOPRIL?,1.279 mg,3,"['Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg', 'Excipientes: Ácido maleico..........................................................................................', 'Excipientes: Ácido maleico.......................................................................................... 0,5 mg.']","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg || Excipientes: Ácido maleico.......................................................................................... || Excipientes: Ácido maleico.......................................................................................... 0,5 mg."
03-Prospecto-Gadopril#0002,"¿Cuál es la cantidad de lactosa monohidrato en cada comprimido ranurado de GADOPRIL® 2,5?",75.871 mg,2,"['Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg', 'Excipientes: Lactosa monohidrato .............................................................................75,871 mg']","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg || Excipientes: Lactosa monohidrato .............................................................................75,871 mg"
03-Prospecto-Gadopril#0003,¿Cuánto mg de lactosa monohidrato contiene cada comprimido ranurado de GADOPRIL?,75.871 mg,2,"['Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Lactosa monohidrato .............................................................................75,871 mg', 'Cada comprimido ranurado de GADOPRIL® 5 contiene: Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Lactosa monohidrato .............................................................................75,871 mg']","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Lactosa monohidrato .............................................................................75,871 mg || Cada comprimido ranurado de GADOPRIL® 5 contiene: Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Lactosa monohidrato .............................................................................75,871 mg"
03-Prospecto-Gadopril#0005,"¿Cuál es el peso de lactosa monohidrato en cada comprimido ranurado de GADOPRIL® 2,5?",75.871 mg,5,"['Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg', 'Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg', 'Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg', 'Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg', 'Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg']","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg || Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg || Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg || Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg || Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg"
03-Prospecto-Gadopril#0006,"¿Cuánto mg de lactosa monohidrato contiene cada comprimido ranurado de GADOPRIL® 2,5?","75,871 mg",4,"['Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg', 'Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg', 'Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg', 'comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg']","Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg || Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg || Cada comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg || comprimido ranurado de GADOPRIL® 2,5 contiene: Enalapril maleato ......................................................................................2,50 mg Excipientes: Bicarbonato de sodio ...............................................................................1,279 mg Almidón pregelatinizado ................................................................................9 mg Lactosa monohidrato .............................................................................75,871 mg Estearato de magnesio ............................................................................1,350 mg"
03-Prospecto-Gadopril#0007,¿Cuál es el contenido de enalapril maleato en cada comprimido ranurado de GADOPRIL 10?,10.00 mg,3,"['Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg', 'Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg', 'Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg']","Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg || Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg || Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg"
03-Prospecto-Gadopril#0008,¿Cuál es la cantidad de povidona CL en cada comprimido ranurado de GADOPRIL?,2.7 mg,3,"['Povidona CL ............................................................................................2,7 mg', 'Povidona CL .......................................................................................... 4,05 mg', 'Povidona CL .......................................................................................... 4,05 mg']","Povidona CL ............................................................................................2,7 mg || Povidona CL .......................................................................................... 4,05 mg || Povidona CL .......................................................................................... 4,05 mg"
03-Prospecto-Gadopril#0009,¿Cuál es la cantidad de dióxido de silicio coloidal en cada comprimido ranurado de GADOPRIL?,1.69 mg,2,"['Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg Excipientes: Ácido maleico .......................................................................................... 1 mg Povidona CL .......................................................................................... 4,05 mg Dióxido de silicio coloidal ...........................................................................1,69 mg', 'Cada comprimido ranurado de GADOPRIL® 20 contiene: Enalapril maleato ....................................................................................20,00 mg Excipientes: Ácido maleico .......................................................................................... ...2 mg Povidona CL .......................................................................................... .....6 mg Dióxido de silicio coloidal ....................................................…']","Cada comprimido ranurado de GADOPRIL® 10 contiene: Enalapril maleato ....................................................................................10,00 mg Excipientes: Ácido maleico .......................................................................................... 1 mg Povidona CL .......................................................................................... 4,05 mg Dióxido de silicio coloidal ...........................................................................1,69 mg || Cada comprimido ranurado de GADOPRIL® 20 contiene: Enalapril maleato ....................................................................................20,00 mg Excipientes: Ácido maleico .......................................................................................... ...2 mg Povidona CL .......................................................................................... .....6 mg Dióxido de silicio coloidal ....................................................…"
03-Prospecto-Gadopril#0010,¿Cuál es el contenido de cada comprimido ranurado de GADOPRIL® 20?,"Enalapril maleato 20,00 mg",10,"['Cada comprimido ranurado de GADOPRIL® 20 contiene: Enalapril maleato ....................................................................................20,00 mg', 'Excipientes: Ácido maleico .......................................................................................... ...2 mg', 'Povidona CL .......................................................................................... .....6 mg', 'Dióxido de silicio coloidal ...........................................................................2,50 mg', 'Talco .........................................................................................................4 mg', 'Cellactosa .............................................................................................107,5 mg', 'Talco siliconado compuesto ........................................................................12 mg', 'Celulosa microcristalina ..............................................................................30 mg', 'Almidón pregelatinizado ............................................................................ .10 mg', 'Estearato de magnesio ................................................................................6 mg.']","Cada comprimido ranurado de GADOPRIL® 20 contiene: Enalapril maleato ....................................................................................20,00 mg || Excipientes: Ácido maleico .......................................................................................... ...2 mg || Povidona CL .......................................................................................... .....6 mg || Dióxido de silicio coloidal ...........................................................................2,50 mg || Talco .........................................................................................................4 mg || Cellactosa .............................................................................................107,5 mg || Talco siliconado compuesto ........................................................................12 mg || Celulosa microcristalina ..............................................................................30 mg || Almidón pregelatinizado ............................................................................ .10 mg || Estearato de magnesio ................................................................................6 mg."
